sample,thin_sample,who,part,digits,value
0,0,adults,0,None,11.347496
1,1,adults,0,None,15.524716
2,2,adults,0,None,17.636071
3,3,adults,0,None,19.651689
4,4,adults,0,None,10.327132
5,5,adults,0,None,13.038449
6,6,adults,0,None,9.057222
7,7,adults,0,None,11.271052
8,8,adults,0,None,13.188722
9,9,adults,0,None,11.347586
10,10,adults,0,None,17.633770
11,11,adults,0,None,16.775638
12,12,adults,0,None,14.792348
13,13,adults,0,None,15.520562
14,14,adults,0,None,16.532659
15,15,adults,0,None,14.043248
16,16,adults,0,None,15.511070
17,17,adults,0,None,37.424748
18,18,adults,0,None,30.177645
19,19,adults,0,None,27.193582
20,20,adults,0,None,11.943866
21,21,adults,0,None,25.132370
22,22,adults,0,None,29.582814
23,23,adults,0,None,18.369753
24,24,adults,0,None,9.384895
25,25,adults,0,None,9.078154
26,26,adults,0,None,11.475800
27,27,adults,0,None,6.063444
28,28,adults,0,None,5.830341
29,29,adults,0,None,7.740340
30,30,adults,0,None,6.885849
31,31,adults,0,None,9.787053
32,32,adults,0,None,10.616240
33,33,adults,0,None,19.136407
34,34,adults,0,None,15.678613
35,35,adults,0,None,15.531031
36,36,adults,0,None,25.300937
37,37,adults,0,None,25.493192
38,38,adults,0,None,19.368143
39,39,adults,0,None,22.228776
40,40,adults,0,None,25.780616
41,41,adults,0,None,16.829399
42,42,adults,0,None,29.914114
43,43,adults,0,None,15.893543
44,44,adults,0,None,17.780747
45,45,adults,0,None,17.648816
46,46,adults,0,None,33.016914
47,47,adults,0,None,13.637216
48,48,adults,0,None,16.064127
49,49,adults,0,None,13.514121
50,50,adults,0,None,15.104207
51,51,adults,0,None,23.587986
52,52,adults,0,None,28.639645
53,53,adults,0,None,17.795561
54,54,adults,0,None,13.046109
55,55,adults,0,None,15.186452
56,56,adults,0,None,16.864780
57,57,adults,0,None,18.733997
58,58,adults,0,None,13.785642
59,59,adults,0,None,10.715608
60,60,adults,0,None,6.895949
61,61,adults,0,None,8.933183
62,62,adults,0,None,10.839916
63,63,adults,0,None,11.119214
64,64,adults,0,None,14.455654
65,65,adults,0,None,21.757106
66,66,adults,0,None,21.594616
67,67,adults,0,None,13.537177
68,68,adults,0,None,14.160351
69,69,adults,0,None,15.855844
70,70,adults,0,None,10.681339
71,71,adults,0,None,11.610328
72,72,adults,0,None,10.138397
73,73,adults,0,None,8.825645
74,74,adults,0,None,9.775247
75,75,adults,0,None,11.020390
76,76,adults,0,None,10.487860
77,77,adults,0,None,10.487860
78,78,adults,0,None,10.487860
79,79,adults,0,None,10.706535
80,80,adults,0,None,15.386237
81,81,adults,0,None,11.395376
82,82,adults,0,None,10.417958
83,83,adults,0,None,8.526786
84,84,adults,0,None,11.358287
85,85,adults,0,None,16.985825
86,86,adults,0,None,14.495926
87,87,adults,0,None,17.137924
88,88,adults,0,None,17.126839
89,89,adults,0,None,16.204754
90,90,adults,0,None,26.660018
91,91,adults,0,None,18.824164
