sample,thin_sample,who,part,digits,value
0,0,monkeys,0,None,2.360705
1,1,monkeys,0,None,1.010943
2,2,monkeys,0,None,0.757752
3,3,monkeys,0,None,2.120674
4,4,monkeys,0,None,3.127823
5,5,monkeys,0,None,4.555498
6,6,monkeys,0,None,11.149556
7,7,monkeys,0,None,2.738183
8,8,monkeys,0,None,1.795857
9,9,monkeys,0,None,4.074601
10,10,monkeys,0,None,4.293614
11,11,monkeys,0,None,2.714308
12,12,monkeys,0,None,3.625565
13,13,monkeys,0,None,2.940434
14,14,monkeys,0,None,3.046325
15,15,monkeys,0,None,3.502978
16,16,monkeys,0,None,2.322824
17,17,monkeys,0,None,2.538139
18,18,monkeys,0,None,4.812198
19,19,monkeys,0,None,2.002378
20,20,monkeys,0,None,2.503027
21,21,monkeys,0,None,5.875040
22,22,monkeys,0,None,4.991811
23,23,monkeys,0,None,4.621342
24,24,monkeys,0,None,4.621342
25,25,monkeys,0,None,4.870214
26,26,monkeys,0,None,2.732033
27,27,monkeys,0,None,2.298328
28,28,monkeys,0,None,2.310564
29,29,monkeys,0,None,1.961259
30,30,monkeys,0,None,1.536914
31,31,monkeys,0,None,2.461291
32,32,monkeys,0,None,2.562950
33,33,monkeys,0,None,4.140482
34,34,monkeys,0,None,2.279320
35,35,monkeys,0,None,4.049073
36,36,monkeys,0,None,2.778300
37,37,monkeys,0,None,2.658581
38,38,monkeys,0,None,2.728305
39,39,monkeys,0,None,1.774403
40,40,monkeys,0,None,1.227382
41,41,monkeys,0,None,2.135047
42,42,monkeys,0,None,0.723596
43,43,monkeys,0,None,0.812940
44,44,monkeys,0,None,1.953627
45,45,monkeys,0,None,0.474030
46,46,monkeys,0,None,1.861359
47,47,monkeys,0,None,1.800059
48,48,monkeys,0,None,1.837290
49,49,monkeys,0,None,1.251433
50,50,monkeys,0,None,2.947051
51,51,monkeys,0,None,1.909595
52,52,monkeys,0,None,1.685400
53,53,monkeys,0,None,1.299561
54,54,monkeys,0,None,1.898497
55,55,monkeys,0,None,1.415653
56,56,monkeys,0,None,1.027649
57,57,monkeys,0,None,1.326870
58,58,monkeys,0,None,0.802330
59,59,monkeys,0,None,1.042644
60,60,monkeys,0,None,2.802988
61,61,monkeys,0,None,3.501427
62,62,monkeys,0,None,1.300436
63,63,monkeys,0,None,1.115549
64,64,monkeys,0,None,2.478036
65,65,monkeys,0,None,1.542374
66,66,monkeys,0,None,1.390932
67,67,monkeys,0,None,0.985280
68,68,monkeys,0,None,1.746887
69,69,monkeys,0,None,0.791858
70,70,monkeys,0,None,1.616290
71,71,monkeys,0,None,1.351611
72,72,monkeys,0,None,1.664311
73,73,monkeys,0,None,1.303418
