sample,thin_sample,who,which,forward,value
0,0,kids,CMOM,None,0.038923
0,0,kids,OMCM,None,0.065152
0,0,kids,CMCM,None,0.034921
0,0,kids,OOCM,None,0.288782
0,0,kids,OCOM,None,0.055934
0,0,kids,OOMM,None,0.320415
0,0,kids,CCMM,None,0.049678
0,0,kids,OCCM,None,0.033599
0,0,kids,OMOM,None,0.042416
0,0,kids,CCOM,None,0.022707
0,0,kids,COCM,None,0.024087
0,0,kids,COOM,None,0.023385
1,1,kids,CMOM,None,0.051682
1,1,kids,OMCM,None,0.040924
1,1,kids,CMCM,None,0.035032
1,1,kids,OOCM,None,0.272217
1,1,kids,OCOM,None,0.060567
1,1,kids,OOMM,None,0.284952
1,1,kids,CCMM,None,0.050053
1,1,kids,OCCM,None,0.044907
1,1,kids,OMOM,None,0.054351
1,1,kids,CCOM,None,0.030402
1,1,kids,COCM,None,0.040067
1,1,kids,COOM,None,0.034848
2,2,kids,CMOM,None,0.061562
2,2,kids,OMCM,None,0.043644
2,2,kids,CMCM,None,0.027085
2,2,kids,OOCM,None,0.296188
2,2,kids,OCOM,None,0.086646
2,2,kids,OOMM,None,0.247349
2,2,kids,CCMM,None,0.028542
2,2,kids,OCCM,None,0.036647
2,2,kids,OMOM,None,0.043365
2,2,kids,CCOM,None,0.037529
2,2,kids,COCM,None,0.038012
2,2,kids,COOM,None,0.053432
3,3,kids,CMOM,None,0.064339
3,3,kids,OMCM,None,0.040004
3,3,kids,CMCM,None,0.026167
3,3,kids,OOCM,None,0.210358
3,3,kids,OCOM,None,0.071302
3,3,kids,OOMM,None,0.352246
3,3,kids,CCMM,None,0.025800
3,3,kids,OCCM,None,0.024683
3,3,kids,OMOM,None,0.049624
3,3,kids,CCOM,None,0.042032
3,3,kids,COCM,None,0.037893
3,3,kids,COOM,None,0.055552
4,4,kids,CMOM,None,0.045078
4,4,kids,OMCM,None,0.076958
4,4,kids,CMCM,None,0.047694
4,4,kids,OOCM,None,0.269101
4,4,kids,OCOM,None,0.043326
4,4,kids,OOMM,None,0.196972
4,4,kids,CCMM,None,0.025111
4,4,kids,OCCM,None,0.024126
4,4,kids,OMOM,None,0.067234
4,4,kids,CCOM,None,0.067452
4,4,kids,COCM,None,0.056435
4,4,kids,COOM,None,0.080514
5,5,kids,CMOM,None,0.047544
5,5,kids,OMCM,None,0.062680
5,5,kids,CMCM,None,0.049422
5,5,kids,OOCM,None,0.190009
5,5,kids,OCOM,None,0.055096
5,5,kids,OOMM,None,0.354907
5,5,kids,CCMM,None,0.029985
5,5,kids,OCCM,None,0.037585
5,5,kids,OMOM,None,0.060232
5,5,kids,CCOM,None,0.036924
5,5,kids,COCM,None,0.032432
5,5,kids,COOM,None,0.043185
6,6,kids,CMOM,None,0.031479
6,6,kids,OMCM,None,0.045213
6,6,kids,CMCM,None,0.071235
6,6,kids,OOCM,None,0.243411
6,6,kids,OCOM,None,0.069778
6,6,kids,OOMM,None,0.262100
6,6,kids,CCMM,None,0.034340
6,6,kids,OCCM,None,0.055602
6,6,kids,OMOM,None,0.064447
6,6,kids,CCOM,None,0.045945
6,6,kids,COCM,None,0.033356
6,6,kids,COOM,None,0.043095
7,7,kids,CMOM,None,0.043619
7,7,kids,OMCM,None,0.080061
7,7,kids,CMCM,None,0.040156
7,7,kids,OOCM,None,0.268681
7,7,kids,OCOM,None,0.044924
7,7,kids,OOMM,None,0.261641
7,7,kids,CCMM,None,0.036314
7,7,kids,OCCM,None,0.044147
7,7,kids,OMOM,None,0.061784
7,7,kids,CCOM,None,0.042827
7,7,kids,COCM,None,0.032799
7,7,kids,COOM,None,0.043047
8,8,kids,CMOM,None,0.027310
8,8,kids,OMCM,None,0.043018
8,8,kids,CMCM,None,0.042359
8,8,kids,OOCM,None,0.280601
8,8,kids,OCOM,None,0.068969
8,8,kids,OOMM,None,0.281287
8,8,kids,CCMM,None,0.027762
8,8,kids,OCCM,None,0.046065
