sample,thin_sample,who,which,forward,value
0,0,monkeys,CMOM,None,0.074748
0,0,monkeys,OMCM,None,0.127669
0,0,monkeys,CMCM,None,0.032019
0,0,monkeys,OOCM,None,0.218312
0,0,monkeys,OCOM,None,0.059237
0,0,monkeys,OOMM,None,0.219573
0,0,monkeys,CCMM,None,0.024803
0,0,monkeys,OCCM,None,0.047599
0,0,monkeys,OMOM,None,0.119911
0,0,monkeys,CCOM,None,0.010886
0,0,monkeys,COCM,None,0.018448
0,0,monkeys,COOM,None,0.046795
1,1,monkeys,CMOM,None,0.062734
1,1,monkeys,OMCM,None,0.175719
1,1,monkeys,CMCM,None,0.050365
1,1,monkeys,OOCM,None,0.089362
1,1,monkeys,OCOM,None,0.118167
1,1,monkeys,OOMM,None,0.087780
1,1,monkeys,CCMM,None,0.051843
1,1,monkeys,OCCM,None,0.101507
1,1,monkeys,OMOM,None,0.095865
1,1,monkeys,CCOM,None,0.047338
1,1,monkeys,COCM,None,0.066169
1,1,monkeys,COOM,None,0.053153
2,2,monkeys,CMOM,None,0.129156
2,2,monkeys,OMCM,None,0.174710
2,2,monkeys,CMCM,None,0.042261
2,2,monkeys,OOCM,None,0.087481
2,2,monkeys,OCOM,None,0.118215
2,2,monkeys,OOMM,None,0.146736
2,2,monkeys,CCMM,None,0.016716
2,2,monkeys,OCCM,None,0.079980
2,2,monkeys,OMOM,None,0.068497
2,2,monkeys,CCOM,None,0.032707
2,2,monkeys,COCM,None,0.072378
2,2,monkeys,COOM,None,0.031164
3,3,monkeys,CMOM,None,0.046573
3,3,monkeys,OMCM,None,0.099229
3,3,monkeys,CMCM,None,0.019096
3,3,monkeys,OOCM,None,0.127085
3,3,monkeys,OCOM,None,0.069044
3,3,monkeys,OOMM,None,0.150207
3,3,monkeys,CCMM,None,0.030665
3,3,monkeys,OCCM,None,0.096696
3,3,monkeys,OMOM,None,0.173157
3,3,monkeys,CCOM,None,0.045674
3,3,monkeys,COCM,None,0.029762
3,3,monkeys,COOM,None,0.112814
4,4,monkeys,CMOM,None,0.039309
4,4,monkeys,OMCM,None,0.174635
4,4,monkeys,CMCM,None,0.027314
4,4,monkeys,OOCM,None,0.083532
4,4,monkeys,OCOM,None,0.132025
4,4,monkeys,OOMM,None,0.242384
4,4,monkeys,CCMM,None,0.029152
4,4,monkeys,OCCM,None,0.047972
4,4,monkeys,OMOM,None,0.070250
4,4,monkeys,CCOM,None,0.055015
4,4,monkeys,COCM,None,0.060052
4,4,monkeys,COOM,None,0.038361
5,5,monkeys,CMOM,None,0.043618
5,5,monkeys,OMCM,None,0.069498
5,5,monkeys,CMCM,None,0.011740
5,5,monkeys,OOCM,None,0.168814
5,5,monkeys,OCOM,None,0.124718
5,5,monkeys,OOMM,None,0.219426
5,5,monkeys,CCMM,None,0.033663
5,5,monkeys,OCCM,None,0.064994
5,5,monkeys,OMOM,None,0.130493
5,5,monkeys,CCOM,None,0.036995
5,5,monkeys,COCM,None,0.021831
5,5,monkeys,COOM,None,0.074210
6,6,monkeys,CMOM,None,0.063861
6,6,monkeys,OMCM,None,0.197094
6,6,monkeys,CMCM,None,0.050124
6,6,monkeys,OOCM,None,0.065232
6,6,monkeys,OCOM,None,0.040317
6,6,monkeys,OOMM,None,0.184685
6,6,monkeys,CCMM,None,0.031577
6,6,monkeys,OCCM,None,0.068045
6,6,monkeys,OMOM,None,0.173373
6,6,monkeys,CCOM,None,0.033776
6,6,monkeys,COCM,None,0.055442
6,6,monkeys,COOM,None,0.036474
7,7,monkeys,CMOM,None,0.035099
7,7,monkeys,OMCM,None,0.064098
7,7,monkeys,CMCM,None,0.020739
7,7,monkeys,OOCM,None,0.208942
7,7,monkeys,OCOM,None,0.097300
7,7,monkeys,OOMM,None,0.172947
7,7,monkeys,CCMM,None,0.026241
7,7,monkeys,OCCM,None,0.072900
7,7,monkeys,OMOM,None,0.088680
7,7,monkeys,CCOM,None,0.056844
7,7,monkeys,COCM,None,0.034862
7,7,monkeys,COOM,None,0.121349
8,8,monkeys,CMOM,None,0.033082
8,8,monkeys,OMCM,None,0.092232
8,8,monkeys,CMCM,None,0.039284
8,8,monkeys,OOCM,None,0.182608
8,8,monkeys,OCOM,None,0.079921
8,8,monkeys,OOMM,None,0.192415
8,8,monkeys,CCMM,None,0.039304
