sample,thin_sample,who,which,forward,value
0,0,tsimane,CMOM,None,0.025169
0,0,tsimane,OMCM,None,0.016232
0,0,tsimane,CMCM,None,0.038405
0,0,tsimane,OOCM,None,0.204579
0,0,tsimane,OCOM,None,0.066695
0,0,tsimane,OOMM,None,0.470912
0,0,tsimane,CCMM,None,0.028971
0,0,tsimane,OCCM,None,0.017493
0,0,tsimane,OMOM,None,0.040513
0,0,tsimane,CCOM,None,0.017928
0,0,tsimane,COCM,None,0.013038
0,0,tsimane,COOM,None,0.060065
1,1,tsimane,CMOM,None,0.027695
1,1,tsimane,OMCM,None,0.027910
1,1,tsimane,CMCM,None,0.040603
1,1,tsimane,OOCM,None,0.203433
1,1,tsimane,OCOM,None,0.088773
1,1,tsimane,OOMM,None,0.435748
1,1,tsimane,CCMM,None,0.073647
1,1,tsimane,OCCM,None,0.015105
1,1,tsimane,OMOM,None,0.031014
1,1,tsimane,CCOM,None,0.012614
1,1,tsimane,COCM,None,0.031344
1,1,tsimane,COOM,None,0.012114
2,2,tsimane,CMOM,None,0.018536
2,2,tsimane,OMCM,None,0.017675
2,2,tsimane,CMCM,None,0.069468
2,2,tsimane,OOCM,None,0.251778
2,2,tsimane,OCOM,None,0.042514
2,2,tsimane,OOMM,None,0.452532
2,2,tsimane,CCMM,None,0.043596
2,2,tsimane,OCCM,None,0.010187
2,2,tsimane,OMOM,None,0.024176
2,2,tsimane,CCOM,None,0.013839
2,2,tsimane,COCM,None,0.027973
2,2,tsimane,COOM,None,0.027725
3,3,tsimane,CMOM,None,0.012674
3,3,tsimane,OMCM,None,0.012804
3,3,tsimane,CMCM,None,0.047440
3,3,tsimane,OOCM,None,0.203803
3,3,tsimane,OCOM,None,0.031581
3,3,tsimane,OOMM,None,0.521550
3,3,tsimane,CCMM,None,0.050746
3,3,tsimane,OCCM,None,0.006948
3,3,tsimane,OMOM,None,0.014963
3,3,tsimane,CCOM,None,0.007160
3,3,tsimane,COCM,None,0.022737
3,3,tsimane,COOM,None,0.067595
4,4,tsimane,CMOM,None,0.013066
4,4,tsimane,OMCM,None,0.027632
4,4,tsimane,CMCM,None,0.056167
4,4,tsimane,OOCM,None,0.262804
4,4,tsimane,OCOM,None,0.035335
