sample,thin_sample,who,part,digits,value
0,0,adults,0,None,0.008358
0,0,adults,1,None,0.003745
0,0,adults,2,None,0.002150
0,0,adults,3,None,0.008414
0,0,adults,4,None,0.001172
0,0,adults,5,None,0.001662
0,0,adults,6,None,0.002564
0,0,adults,7,None,0.003263
0,0,adults,8,None,0.027413
0,0,adults,9,None,0.004208
1,1,adults,0,None,0.017355
1,1,adults,1,None,0.021007
1,1,adults,2,None,0.026928
1,1,adults,3,None,0.024745
1,1,adults,4,None,0.002717
1,1,adults,5,None,0.003396
1,1,adults,6,None,0.004614
1,1,adults,7,None,0.044333
1,1,adults,8,None,0.043458
1,1,adults,9,None,0.034010
2,2,adults,0,None,0.001304
2,2,adults,1,None,0.003113
2,2,adults,2,None,0.023986
2,2,adults,3,None,0.033214
2,2,adults,4,None,0.001337
2,2,adults,5,None,0.005077
2,2,adults,6,None,0.029201
2,2,adults,7,None,0.023647
2,2,adults,8,None,0.002379
2,2,adults,9,None,0.022386
3,3,adults,0,None,0.000648
3,3,adults,1,None,0.006229
3,3,adults,2,None,0.021708
3,3,adults,3,None,0.016662
3,3,adults,4,None,0.001119
3,3,adults,5,None,0.005981
3,3,adults,6,None,0.010338
3,3,adults,7,None,0.021799
3,3,adults,8,None,0.004903
3,3,adults,9,None,0.029833
4,4,adults,0,None,0.005357
4,4,adults,1,None,0.051084
4,4,adults,2,None,0.028107
4,4,adults,3,None,0.048753
4,4,adults,4,None,0.002289
4,4,adults,5,None,0.034253
4,4,adults,6,None,0.022938
4,4,adults,7,None,0.039978
4,4,adults,8,None,0.013052
4,4,adults,9,None,0.018837
5,5,adults,0,None,0.026543
5,5,adults,1,None,0.004348
5,5,adults,2,None,0.010086
5,5,adults,3,None,0.006690
5,5,adults,4,None,0.039862
5,5,adults,5,None,0.005103
5,5,adults,6,None,0.005697
5,5,adults,7,None,0.004672
5,5,adults,8,None,0.011451
5,5,adults,9,None,0.020852
6,6,adults,0,None,0.008422
6,6,adults,1,None,0.028789
6,6,adults,2,None,0.006943
6,6,adults,3,None,0.009677
6,6,adults,4,None,0.009417
6,6,adults,5,None,0.040141
6,6,adults,6,None,0.032957
6,6,adults,7,None,0.044083
6,6,adults,8,None,0.077126
6,6,adults,9,None,0.018352
7,7,adults,0,None,0.013583
7,7,adults,1,None,0.017165
7,7,adults,2,None,0.008499
7,7,adults,3,None,0.011097
7,7,adults,4,None,0.005034
7,7,adults,5,None,0.029327
7,7,adults,6,None,0.026392
7,7,adults,7,None,0.038462
7,7,adults,8,None,0.076026
7,7,adults,9,None,0.014371
8,8,adults,0,None,0.054021
8,8,adults,1,None,0.027260
8,8,adults,2,None,0.049998
8,8,adults,3,None,0.063076
8,8,adults,4,None,0.019584
8,8,adults,5,None,0.009405
8,8,adults,6,None,0.005487
8,8,adults,7,None,0.015408
8,8,adults,8,None,0.025156
8,8,adults,9,None,0.023913
9,9,adults,0,None,0.001241
9,9,adults,1,None,0.009919
9,9,adults,2,None,0.003038
9,9,adults,3,None,0.002074
9,9,adults,4,None,0.006184
9,9,adults,5,None,0.018289
9,9,adults,6,None,0.009084
9,9,adults,7,None,0.023750
9,9,adults,8,None,0.015619
9,9,adults,9,None,0.005320
10,10,adults,0,None,0.005275
10,10,adults,1,None,0.030567
10,10,adults,2,None,0.006582
10,10,adults,3,None,0.007444
10,10,adults,4,None,0.007741
10,10,adults,5,None,0.016457
10,10,adults,6,None,0.006949
10,10,adults,7,None,0.019808
10,10,adults,8,None,0.036559
10,10,adults,9,None,0.005278
11,11,adults,0,None,0.030215
11,11,adults,1,None,0.013343
11,11,adults,2,None,0.020757
11,11,adults,3,None,0.045476
11,11,adults,4,None,0.012095
11,11,adults,5,None,0.010843
11,11,adults,6,None,0.026943
11,11,adults,7,None,0.039836
11,11,adults,8,None,0.002507
