sample,thin_sample,who,part,digits,value
0,0,kids,0,17,0.007773
0,0,kids,1,19,0.010402
0,0,kids,2,19,0.052690
0,0,kids,3,16,0.026687
0,0,kids,4,24,0.013314
0,0,kids,5,19,0.042910
0,0,kids,6,20,0.009714
0,0,kids,7,15,0.008932
0,0,kids,8,NA,0.032542
0,0,kids,9,19,0.191951
0,0,kids,10,15,0.042002
0,0,kids,11,19,0.006053
0,0,kids,12,10,0.015579
0,0,kids,13,12,0.059757
0,0,kids,14,16,0.013069
0,0,kids,15,12,0.152867
0,0,kids,16,17,0.033063
0,0,kids,17,24,0.001701
0,0,kids,18,33,0.001129
0,0,kids,19,20,0.034541
0,0,kids,20,25,0.007924
0,0,kids,21,15,0.022076
0,0,kids,22,15,0.058132
0,0,kids,23,15,0.012608
0,0,kids,24,16,0.064019
0,0,kids,25,22,0.035098
0,0,kids,26,21,0.015924
0,0,kids,27,17,0.034677
0,0,kids,28,30,0.043180
0,0,kids,29,14,0.012715
0,0,kids,30,20,0.020674
0,0,kids,31,13,0.110201
0,0,kids,32,NA,0.004334
1,1,kids,0,17,0.090656
1,1,kids,1,19,0.075445
1,1,kids,2,19,0.117172
1,1,kids,3,16,0.020582
1,1,kids,4,24,0.004590
1,1,kids,5,19,0.053433
1,1,kids,6,20,0.003390
1,1,kids,7,15,0.009615
1,1,kids,8,NA,0.022609
1,1,kids,9,19,0.073357
1,1,kids,10,15,0.027896
1,1,kids,11,19,0.019251
1,1,kids,12,10,0.007271
1,1,kids,13,12,0.032456
1,1,kids,14,16,0.006601
1,1,kids,15,12,0.080195
1,1,kids,16,17,0.015336
1,1,kids,17,24,0.001015
1,1,kids,18,33,0.002633
1,1,kids,19,20,0.034369
1,1,kids,20,25,0.009023
1,1,kids,21,15,0.017725
1,1,kids,22,15,0.022566
1,1,kids,23,15,0.032419
1,1,kids,24,16,0.051557
1,1,kids,25,22,0.023068
1,1,kids,26,21,0.015070
1,1,kids,27,17,0.120917
1,1,kids,28,30,0.010030
