sample,thin_sample,who,part,digits,value
0,0,tsimane,0,None,0.005797
0,0,tsimane,1,None,0.018667
0,0,tsimane,2,None,0.001203
0,0,tsimane,3,None,0.006675
0,0,tsimane,4,None,0.005704
0,0,tsimane,5,None,0.004918
0,0,tsimane,6,None,0.008613
0,0,tsimane,7,None,0.008242
0,0,tsimane,8,None,0.015774
0,0,tsimane,9,None,0.010672
0,0,tsimane,10,None,0.005447
0,0,tsimane,11,None,0.016359
0,0,tsimane,12,None,0.010486
0,0,tsimane,13,None,0.017457
0,0,tsimane,14,None,0.036664
0,0,tsimane,15,None,0.006719
0,0,tsimane,16,None,0.000980
0,0,tsimane,17,None,0.000521
0,0,tsimane,18,None,0.004953
0,0,tsimane,19,None,0.015021
0,0,tsimane,20,None,0.021243
1,1,tsimane,0,None,0.009057
1,1,tsimane,1,None,0.006219
1,1,tsimane,2,None,0.001891
1,1,tsimane,3,None,0.022576
1,1,tsimane,4,None,0.030444
1,1,tsimane,5,None,0.010373
1,1,tsimane,6,None,0.019783
1,1,tsimane,7,None,0.004950
1,1,tsimane,8,None,0.012091
1,1,tsimane,9,None,0.050403
1,1,tsimane,10,None,0.009142
1,1,tsimane,11,None,0.028970
1,1,tsimane,12,None,0.003539
1,1,tsimane,13,None,0.008710
1,1,tsimane,14,None,0.014649
1,1,tsimane,15,None,0.005868
1,1,tsimane,16,None,0.000692
1,1,tsimane,17,None,0.000552
1,1,tsimane,18,None,0.020863
1,1,tsimane,19,None,0.009472
1,1,tsimane,20,None,0.017611
2,2,tsimane,0,None,0.003887
2,2,tsimane,1,None,0.004473
2,2,tsimane,2,None,0.000472
2,2,tsimane,3,None,0.020264
2,2,tsimane,4,None,0.023348
2,2,tsimane,5,None,0.016690
2,2,tsimane,6,None,0.009419
2,2,tsimane,7,None,0.003277
2,2,tsimane,8,None,0.029506
2,2,tsimane,9,None,0.027114
2,2,tsimane,10,None,0.002228
2,2,tsimane,11,None,0.026159
2,2,tsimane,12,None,0.003570
2,2,tsimane,13,None,0.008679
2,2,tsimane,14,None,0.037706
2,2,tsimane,15,None,0.005828
2,2,tsimane,16,None,0.004951
2,2,tsimane,17,None,0.066360
2,2,tsimane,18,None,0.035334
2,2,tsimane,19,None,0.026327
2,2,tsimane,20,None,0.036002
3,3,tsimane,0,None,0.012842
3,3,tsimane,1,None,0.004956
3,3,tsimane,2,None,0.000638
3,3,tsimane,3,None,0.010583
3,3,tsimane,4,None,0.033589
3,3,tsimane,5,None,0.004344
3,3,tsimane,6,None,0.014074
3,3,tsimane,7,None,0.002828
3,3,tsimane,8,None,0.030013
3,3,tsimane,9,None,0.018409
3,3,tsimane,10,None,0.002262
3,3,tsimane,11,None,0.028725
3,3,tsimane,12,None,0.011451
3,3,tsimane,13,None,0.005404
3,3,tsimane,14,None,0.037858
3,3,tsimane,15,None,0.010011
3,3,tsimane,16,None,0.004537
3,3,tsimane,17,None,0.008004
3,3,tsimane,18,None,0.030244
3,3,tsimane,19,None,0.003785
3,3,tsimane,20,None,0.035804
4,4,tsimane,0,None,0.013943
4,4,tsimane,1,None,0.000229
4,4,tsimane,2,None,0.054063
4,4,tsimane,3,None,0.003997
4,4,tsimane,4,None,0.005751
4,4,tsimane,5,None,0.012875
4,4,tsimane,6,None,0.016373
4,4,tsimane,7,None,0.012479
4,4,tsimane,8,None,0.000066
4,4,tsimane,9,None,0.015256
4,4,tsimane,10,None,0.027258
4,4,tsimane,11,None,0.006206
4,4,tsimane,12,None,0.007750
4,4,tsimane,13,None,0.006121
4,4,tsimane,14,None,0.001968
4,4,tsimane,15,None,0.001438
4,4,tsimane,16,None,0.003476
4,4,tsimane,17,None,0.000779
4,4,tsimane,18,None,0.003481
4,4,tsimane,19,None,0.029725
4,4,tsimane,20,None,0.003137
5,5,tsimane,0,None,0.015594
5,5,tsimane,1,None,0.000373
5,5,tsimane,2,None,0.004177
5,5,tsimane,3,None,0.005622
5,5,tsimane,4,None,0.004577
5,5,tsimane,5,None,0.015561
5,5,tsimane,6,None,0.031135
5,5,tsimane,7,None,0.013709
5,5,tsimane,8,None,0.000432
5,5,tsimane,9,None,0.015260
5,5,tsimane,10,None,0.019666
5,5,tsimane,11,None,0.005255
5,5,tsimane,12,None,0.013569
5,5,tsimane,13,None,0.004747
5,5,tsimane,14,None,0.001078
5,5,tsimane,15,None,0.010812
5,5,tsimane,16,None,0.001930
5,5,tsimane,17,None,0.009454
5,5,tsimane,18,None,0.002610
5,5,tsimane,19,None,0.010550
5,5,tsimane,20,None,0.002803
6,6,tsimane,0,None,0.015139
6,6,tsimane,1,None,0.000162
6,6,tsimane,2,None,0.001656
6,6,tsimane,3,None,0.003339
6,6,tsimane,4,None,0.006387
6,6,tsimane,5,None,0.007442
6,6,tsimane,6,None,0.010754
6,6,tsimane,7,None,0.006397
6,6,tsimane,8,None,0.004486
6,6,tsimane,9,None,0.029511
6,6,tsimane,10,None,0.038095
6,6,tsimane,11,None,0.012053
6,6,tsimane,12,None,0.022797
6,6,tsimane,13,None,0.017815
6,6,tsimane,14,None,0.001046
6,6,tsimane,15,None,0.017685
6,6,tsimane,16,None,0.002579
6,6,tsimane,17,None,0.010823
6,6,tsimane,18,None,0.002637
6,6,tsimane,19,None,0.010414
6,6,tsimane,20,None,0.005392
7,7,tsimane,0,None,0.004864
7,7,tsimane,1,None,0.008984
7,7,tsimane,2,None,0.042505
7,7,tsimane,3,None,0.001056
7,7,tsimane,4,None,0.018454
7,7,tsimane,5,None,0.019608
7,7,tsimane,6,None,0.012998
7,7,tsimane,7,None,0.039152
7,7,tsimane,8,None,0.005141
7,7,tsimane,9,None,0.025253
7,7,tsimane,10,None,0.002888
7,7,tsimane,11,None,0.009022
7,7,tsimane,12,None,0.023225
7,7,tsimane,13,None,0.018923
7,7,tsimane,14,None,0.051768
7,7,tsimane,15,None,0.001014
7,7,tsimane,16,None,0.008330
7,7,tsimane,17,None,0.008503
7,7,tsimane,18,None,0.002950
7,7,tsimane,19,None,0.004273
7,7,tsimane,20,None,0.006785
8,8,tsimane,0,None,0.008718
8,8,tsimane,1,None,0.014683
8,8,tsimane,2,None,0.034559
8,8,tsimane,3,None,0.001115
8,8,tsimane,4,None,0.011703
8,8,tsimane,5,None,0.025567
8,8,tsimane,6,None,0.005230
8,8,tsimane,7,None,0.030646
8,8,tsimane,8,None,0.013259
8,8,tsimane,9,None,0.016749
8,8,tsimane,10,None,0.002754
8,8,tsimane,11,None,0.007334
8,8,tsimane,12,None,0.002685
8,8,tsimane,13,None,0.009743
8,8,tsimane,14,None,0.031815
8,8,tsimane,15,None,0.001053
8,8,tsimane,16,None,0.017997
8,8,tsimane,17,None,0.008643
8,8,tsimane,18,None,0.025899
8,8,tsimane,19,None,0.000592
8,8,tsimane,20,None,0.004781
9,9,tsimane,0,None,0.021465
9,9,tsimane,1,None,0.022540
9,9,tsimane,2,None,0.002529
9,9,tsimane,3,None,0.002044
9,9,tsimane,4,None,0.006293
9,9,tsimane,5,None,0.052783
9,9,tsimane,6,None,0.004362
9,9,tsimane,7,None,0.010547
9,9,tsimane,8,None,0.015233
9,9,tsimane,9,None,0.010157
9,9,tsimane,10,None,0.039310
9,9,tsimane,11,None,0.004926
9,9,tsimane,12,None,0.002655
9,9,tsimane,13,None,0.000258
9,9,tsimane,14,None,0.007210
9,9,tsimane,15,None,0.027601
9,9,tsimane,16,None,0.006754
9,9,tsimane,17,None,0.002596
9,9,tsimane,18,None,0.014077
9,9,tsimane,19,None,0.006137
9,9,tsimane,20,None,0.023957
10,10,tsimane,0,None,0.007176
10,10,tsimane,1,None,0.002547
10,10,tsimane,2,None,0.034994
10,10,tsimane,3,None,0.023514
10,10,tsimane,4,None,0.026610
10,10,tsimane,5,None,0.052824
10,10,tsimane,6,None,0.004698
10,10,tsimane,7,None,0.022670
10,10,tsimane,8,None,0.011877
10,10,tsimane,9,None,0.064847
10,10,tsimane,10,None,0.004358
10,10,tsimane,11,None,0.009925
10,10,tsimane,12,None,0.008153
10,10,tsimane,13,None,0.014307
10,10,tsimane,14,None,0.023864
10,10,tsimane,15,None,0.005802
10,10,tsimane,16,None,0.012629
10,10,tsimane,17,None,0.024760
10,10,tsimane,18,None,0.014752
10,10,tsimane,19,None,0.026415
10,10,tsimane,20,None,0.008035
11,11,tsimane,0,None,0.007058
11,11,tsimane,1,None,0.006226
11,11,tsimane,2,None,0.023581
11,11,tsimane,3,None,0.008640
11,11,tsimane,4,None,0.000303
11,11,tsimane,5,None,0.002107
11,11,tsimane,6,None,0.031033
11,11,tsimane,7,None,0.024143
11,11,tsimane,8,None,0.042106
11,11,tsimane,9,None,0.012454
11,11,tsimane,10,None,0.068373
11,11,tsimane,11,None,0.017967
11,11,tsimane,12,None,0.018447
11,11,tsimane,13,None,0.013200
11,11,tsimane,14,None,0.012636
11,11,tsimane,15,None,0.022570
11,11,tsimane,16,None,0.012627
11,11,tsimane,17,None,0.029798
11,11,tsimane,18,None,0.007951
11,11,tsimane,19,None,0.028545
11,11,tsimane,20,None,0.009504
12,12,tsimane,0,None,0.021272
12,12,tsimane,1,None,0.001561
12,12,tsimane,2,None,0.019623
12,12,tsimane,3,None,0.033639
12,12,tsimane,4,None,0.000139
12,12,tsimane,5,None,0.019027
12,12,tsimane,6,None,0.008118
12,12,tsimane,7,None,0.000645
12,12,tsimane,8,None,0.006317
12,12,tsimane,9,None,0.036349
12,12,tsimane,10,None,0.003418
12,12,tsimane,11,None,0.019676
12,12,tsimane,12,None,0.015939
12,12,tsimane,13,None,0.021819
12,12,tsimane,14,None,0.017488
12,12,tsimane,15,None,0.016180
12,12,tsimane,16,None,0.029994
12,12,tsimane,17,None,0.013714
12,12,tsimane,18,None,0.003910
12,12,tsimane,19,None,0.015216
12,12,tsimane,20,None,0.003960
13,13,tsimane,0,None,0.036341
13,13,tsimane,1,None,0.002856
13,13,tsimane,2,None,0.018814
13,13,tsimane,3,None,0.023052
13,13,tsimane,4,None,0.000408
13,13,tsimane,5,None,0.008094
13,13,tsimane,6,None,0.009078
13,13,tsimane,7,None,0.000306
13,13,tsimane,8,None,0.001887
13,13,tsimane,9,None,0.058648
13,13,tsimane,10,None,0.004750
13,13,tsimane,11,None,0.018417
13,13,tsimane,12,None,0.007651
13,13,tsimane,13,None,0.051125
13,13,tsimane,14,None,0.017746
13,13,tsimane,15,None,0.033207
13,13,tsimane,16,None,0.016595
13,13,tsimane,17,None,0.018944
13,13,tsimane,18,None,0.008259
13,13,tsimane,19,None,0.038564
13,13,tsimane,20,None,0.007717
14,14,tsimane,0,None,0.002997
14,14,tsimane,1,None,0.031485
14,14,tsimane,2,None,0.004247
14,14,tsimane,3,None,0.010744
14,14,tsimane,4,None,0.067432
14,14,tsimane,5,None,0.001027
14,14,tsimane,6,None,0.001789
14,14,tsimane,7,None,0.017070
14,14,tsimane,8,None,0.004935
14,14,tsimane,9,None,0.002435
14,14,tsimane,10,None,0.004363
14,14,tsimane,11,None,0.011240
14,14,tsimane,12,None,0.006281
14,14,tsimane,13,None,0.001045
14,14,tsimane,14,None,0.003921
14,14,tsimane,15,None,0.002385
14,14,tsimane,16,None,0.012188
14,14,tsimane,17,None,0.006430
14,14,tsimane,18,None,0.009641
14,14,tsimane,19,None,0.003291
14,14,tsimane,20,None,0.003719
15,15,tsimane,0,None,0.038672
15,15,tsimane,1,None,0.005385
15,15,tsimane,2,None,0.005849
15,15,tsimane,3,None,0.000834
15,15,tsimane,4,None,0.000452
15,15,tsimane,5,None,0.000668
15,15,tsimane,6,None,0.015286
15,15,tsimane,7,None,0.012585
15,15,tsimane,8,None,0.024360
15,15,tsimane,9,None,0.052863
15,15,tsimane,10,None,0.007349
15,15,tsimane,11,None,0.013984
15,15,tsimane,12,None,0.006334
15,15,tsimane,13,None,0.002819
15,15,tsimane,14,None,0.022315
15,15,tsimane,15,None,0.014734
15,15,tsimane,16,None,0.023209
15,15,tsimane,17,None,0.001521
15,15,tsimane,18,None,0.027917
15,15,tsimane,19,None,0.016523
15,15,tsimane,20,None,0.012095
16,16,tsimane,0,None,0.019915
16,16,tsimane,1,None,0.002820
16,16,tsimane,2,None,0.005496
16,16,tsimane,3,None,0.001032
16,16,tsimane,4,None,0.000661
16,16,tsimane,5,None,0.026048
16,16,tsimane,6,None,0.011589
16,16,tsimane,7,None,0.004100
16,16,tsimane,8,None,0.004811
16,16,tsimane,9,None,0.013884
16,16,tsimane,10,None,0.006765
16,16,tsimane,11,None,0.012518
16,16,tsimane,12,None,0.025103
16,16,tsimane,13,None,0.041098
16,16,tsimane,14,None,0.028629
16,16,tsimane,15,None,0.039065
16,16,tsimane,16,None,0.008523
16,16,tsimane,17,None,0.001186
16,16,tsimane,18,None,0.009633
16,16,tsimane,19,None,0.005128
16,16,tsimane,20,None,0.002609
17,17,tsimane,0,None,0.004393
17,17,tsimane,1,None,0.001591
17,17,tsimane,2,None,0.002655
17,17,tsimane,3,None,0.000895
17,17,tsimane,4,None,0.001640
17,17,tsimane,5,None,0.006041
17,17,tsimane,6,None,0.019505
17,17,tsimane,7,None,0.004707
17,17,tsimane,8,None,0.047685
17,17,tsimane,9,None,0.017721
17,17,tsimane,10,None,0.003606
17,17,tsimane,11,None,0.013199
17,17,tsimane,12,None,0.049628
17,17,tsimane,13,None,0.009638
