sample,thin_sample,who,part,digits,value
0,0,adults,0,None,8.760926
1,1,adults,0,None,31.626871
2,2,adults,0,None,53.010435
3,3,adults,0,None,49.903274
4,4,adults,0,None,17.946630
5,5,adults,0,None,16.189143
6,6,adults,0,None,14.762698
7,7,adults,0,None,19.851431
8,8,adults,0,None,34.986490
9,9,adults,0,None,16.679814
10,10,adults,0,None,77.954749
11,11,adults,0,None,40.202150
12,12,adults,0,None,29.759115
13,13,adults,0,None,37.235147
14,14,adults,0,None,33.065818
15,15,adults,0,None,15.618236
16,16,adults,0,None,22.390822
17,17,adults,0,None,7.287686
18,18,adults,0,None,21.696703
19,19,adults,0,None,15.973976
20,20,adults,0,None,21.269038
21,21,adults,0,None,19.234017
22,22,adults,0,None,23.125406
23,23,adults,0,None,17.480399
24,24,adults,0,None,13.775633
25,25,adults,0,None,14.660510
26,26,adults,0,None,4.552314
27,27,adults,0,None,7.727254
28,28,adults,0,None,3.616237
29,29,adults,0,None,5.597334
30,30,adults,0,None,14.541183
31,31,adults,0,None,15.610209
32,32,adults,0,None,21.479247
33,33,adults,0,None,21.153505
34,34,adults,0,None,19.082506
35,35,adults,0,None,14.278861
36,36,adults,0,None,17.556789
37,37,adults,0,None,28.579646
38,38,adults,0,None,19.366148
39,39,adults,0,None,40.293180
40,40,adults,0,None,37.623158
41,41,adults,0,None,36.239909
42,42,adults,0,None,25.341542
43,43,adults,0,None,23.380013
44,44,adults,0,None,33.168166
45,45,adults,0,None,20.932059
46,46,adults,0,None,30.189505
47,47,adults,0,None,15.409752
48,48,adults,0,None,13.665138
49,49,adults,0,None,14.566149
50,50,adults,0,None,3.647085
51,51,adults,0,None,7.495049
52,52,adults,0,None,7.956614
53,53,adults,0,None,3.012569
54,54,adults,0,None,3.185591
55,55,adults,0,None,2.899809
56,56,adults,0,None,36.416675
57,57,adults,0,None,2.137187
58,58,adults,0,None,3.524354
59,59,adults,0,None,2.657672
60,60,adults,0,None,4.293633
61,61,adults,0,None,5.271700
62,62,adults,0,None,15.299385
63,63,adults,0,None,15.030605
64,64,adults,0,None,15.861465
65,65,adults,0,None,16.488177
66,66,adults,0,None,11.669493
67,67,adults,0,None,11.063672
68,68,adults,0,None,8.274707
69,69,adults,0,None,10.969823
70,70,adults,0,None,12.510280
71,71,adults,0,None,12.152446
72,72,adults,0,None,12.704238
73,73,adults,0,None,15.844231
74,74,adults,0,None,16.074461
75,75,adults,0,None,15.055608
76,76,adults,0,None,12.291444
77,77,adults,0,None,10.928956
78,78,adults,0,None,14.800769
79,79,adults,0,None,18.018427
80,80,adults,0,None,14.743127
81,81,adults,0,None,15.208521
82,82,adults,0,None,12.722593
83,83,adults,0,None,16.183853
