sample,thin_sample,who,part,digits,value
0,0,monkeys,0,None,4.156177
1,1,monkeys,0,None,3.975095
2,2,monkeys,0,None,3.970583
3,3,monkeys,0,None,6.459252
4,4,monkeys,0,None,11.501021
5,5,monkeys,0,None,4.807190
6,6,monkeys,0,None,4.261214
7,7,monkeys,0,None,4.540528
8,8,monkeys,0,None,5.432386
9,9,monkeys,0,None,2.568168
10,10,monkeys,0,None,3.273105
11,11,monkeys,0,None,5.550186
12,12,monkeys,0,None,4.506572
13,13,monkeys,0,None,4.348063
14,14,monkeys,0,None,4.115541
15,15,monkeys,0,None,3.891902
16,16,monkeys,0,None,4.236799
17,17,monkeys,0,None,5.260173
18,18,monkeys,0,None,6.143996
19,19,monkeys,0,None,5.653297
20,20,monkeys,0,None,3.965874
21,21,monkeys,0,None,3.665127
22,22,monkeys,0,None,1.856266
23,23,monkeys,0,None,4.472060
24,24,monkeys,0,None,4.152480
25,25,monkeys,0,None,2.542420
26,26,monkeys,0,None,3.473092
27,27,monkeys,0,None,4.626926
28,28,monkeys,0,None,6.333508
29,29,monkeys,0,None,3.893514
30,30,monkeys,0,None,5.391546
31,31,monkeys,0,None,3.261244
32,32,monkeys,0,None,2.232935
33,33,monkeys,0,None,2.716309
34,34,monkeys,0,None,2.156667
35,35,monkeys,0,None,2.312940
36,36,monkeys,0,None,1.698258
37,37,monkeys,0,None,1.151992
38,38,monkeys,0,None,3.095154
39,39,monkeys,0,None,3.604899
40,40,monkeys,0,None,2.533249
41,41,monkeys,0,None,2.534961
42,42,monkeys,0,None,4.975365
43,43,monkeys,0,None,4.442451
44,44,monkeys,0,None,5.118674
45,45,monkeys,0,None,2.362640
46,46,monkeys,0,None,4.373232
47,47,monkeys,0,None,4.017334
48,48,monkeys,0,None,4.778452
49,49,monkeys,0,None,2.479628
50,50,monkeys,0,None,4.701142
51,51,monkeys,0,None,8.147748
52,52,monkeys,0,None,4.873992
53,53,monkeys,0,None,8.983323
54,54,monkeys,0,None,2.814798
55,55,monkeys,0,None,3.197778
56,56,monkeys,0,None,4.788461
57,57,monkeys,0,None,2.655017
58,58,monkeys,0,None,3.248637
59,59,monkeys,0,None,3.903811
60,60,monkeys,0,None,2.683991
61,61,monkeys,0,None,6.328090
62,62,monkeys,0,None,2.979943
63,63,monkeys,0,None,6.286736
64,64,monkeys,0,None,3.180265
65,65,monkeys,0,None,4.165960
66,66,monkeys,0,None,4.585836
67,67,monkeys,0,None,4.772225
68,68,monkeys,0,None,6.252195
69,69,monkeys,0,None,3.242216
70,70,monkeys,0,None,3.189547
71,71,monkeys,0,None,2.458562
72,72,monkeys,0,None,1.400055
73,73,monkeys,0,None,1.207017
74,74,monkeys,0,None,6.540587
75,75,monkeys,0,None,6.382437
76,76,monkeys,0,None,6.447065
77,77,monkeys,0,None,4.999817
78,78,monkeys,0,None,7.008062
79,79,monkeys,0,None,6.242484
80,80,monkeys,0,None,11.306963
81,81,monkeys,0,None,2.063809
82,82,monkeys,0,None,2.858802
83,83,monkeys,0,None,2.373344
84,84,monkeys,0,None,2.249591
85,85,monkeys,0,None,3.052469
86,86,monkeys,0,None,2.740426
87,87,monkeys,0,None,2.840105
88,88,monkeys,0,None,3.773561
89,89,monkeys,0,None,5.554780
90,90,monkeys,0,None,2.394338
91,91,monkeys,0,None,4.933199
92,92,monkeys,0,None,3.555501
93,93,monkeys,0,None,3.162216
94,94,monkeys,0,None,3.278793
95,95,monkeys,0,None,5.628379
96,96,monkeys,0,None,6.786205
97,97,monkeys,0,None,6.062367
98,98,monkeys,0,None,10.224734
99,99,monkeys,0,None,11.826679
100,100,monkeys,0,None,2.276272
101,101,monkeys,0,None,5.416531
102,102,monkeys,0,None,4.279300
103,103,monkeys,0,None,4.165166
104,104,monkeys,0,None,5.099911
105,105,monkeys,0,None,3.606357
106,106,monkeys,0,None,2.827260
107,107,monkeys,0,None,3.963087
108,108,monkeys,0,None,7.653684
109,109,monkeys,0,None,10.651854
110,110,monkeys,0,None,3.622195
111,111,monkeys,0,None,4.326632
112,112,monkeys,0,None,2.115315
113,113,monkeys,0,None,2.246165
114,114,monkeys,0,None,1.698924
115,115,monkeys,0,None,4.668581
116,116,monkeys,0,None,5.788116
117,117,monkeys,0,None,3.422453
118,118,monkeys,0,None,5.191199
119,119,monkeys,0,None,2.412954
120,120,monkeys,0,None,3.637703
121,121,monkeys,0,None,4.807830
122,122,monkeys,0,None,3.794376
123,123,monkeys,0,None,3.696711
124,124,monkeys,0,None,4.835663
125,125,monkeys,0,None,8.742185
126,126,monkeys,0,None,2.905611
127,127,monkeys,0,None,2.908061
128,128,monkeys,0,None,3.004771
129,129,monkeys,0,None,5.678768
130,130,monkeys,0,None,3.200885
131,131,monkeys,0,None,2.854507
132,132,monkeys,0,None,3.563548
133,133,monkeys,0,None,3.936826
134,134,monkeys,0,None,2.992578
135,135,monkeys,0,None,3.705656
136,136,monkeys,0,None,3.212208
137,137,monkeys,0,None,7.590837
138,138,monkeys,0,None,7.436855
139,139,monkeys,0,None,5.926629
140,140,monkeys,0,None,3.207119
141,141,monkeys,0,None,4.306105
142,142,monkeys,0,None,3.182770
143,143,monkeys,0,None,6.296058
144,144,monkeys,0,None,7.541980
145,145,monkeys,0,None,5.856441
146,146,monkeys,0,None,5.086701
147,147,monkeys,0,None,4.174306
148,148,monkeys,0,None,3.006967
149,149,monkeys,0,None,5.303333
150,150,monkeys,0,None,2.947767
151,151,monkeys,0,None,2.845701
152,152,monkeys,0,None,5.366848
153,153,monkeys,0,None,2.979932
154,154,monkeys,0,None,3.744910
155,155,monkeys,0,None,3.925924
156,156,monkeys,0,None,2.487795
157,157,monkeys,0,None,2.650793
158,158,monkeys,0,None,10.290364
159,159,monkeys,0,None,5.359170
160,160,monkeys,0,None,4.157237
161,161,monkeys,0,None,3.822621
162,162,monkeys,0,None,5.098365
163,163,monkeys,0,None,3.846627
164,164,monkeys,0,None,1.790820
165,165,monkeys,0,None,3.534813
166,166,monkeys,0,None,2.789181
167,167,monkeys,0,None,2.157929
168,168,monkeys,0,None,3.088601
169,169,monkeys,0,None,3.185882
170,170,monkeys,0,None,3.764675
171,171,monkeys,0,None,6.052714
172,172,monkeys,0,None,6.389090
173,173,monkeys,0,None,7.186363
174,174,monkeys,0,None,2.546252
175,175,monkeys,0,None,3.407527
176,176,monkeys,0,None,2.528598
177,177,monkeys,0,None,3.211053
178,178,monkeys,0,None,3.827396
179,179,monkeys,0,None,3.746667
180,180,monkeys,0,None,4.741770
181,181,monkeys,0,None,3.540682
182,182,monkeys,0,None,4.355948
183,183,monkeys,0,None,5.875172
184,184,monkeys,0,None,3.029128
185,185,monkeys,0,None,2.849415
186,186,monkeys,0,None,2.428504
187,187,monkeys,0,None,1.887842
188,188,monkeys,0,None,2.082914
189,189,monkeys,0,None,9.234028
190,190,monkeys,0,None,1.807364
191,191,monkeys,0,None,2.861612
192,192,monkeys,0,None,3.659347
193,193,monkeys,0,None,3.609911
194,194,monkeys,0,None,2.776438
195,195,monkeys,0,None,9.457370
196,196,monkeys,0,None,5.966034
197,197,monkeys,0,None,7.358499
198,198,monkeys,0,None,3.992683
199,199,monkeys,0,None,2.808981
