sample,thin_sample,who,part,digits,value
0,0,tsimane,0,None,2.448262
1,1,tsimane,0,None,3.572430
2,2,tsimane,0,None,2.840309
3,3,tsimane,0,None,2.466303
4,4,tsimane,0,None,2.754318
5,5,tsimane,0,None,3.319910
6,6,tsimane,0,None,4.396791
7,7,tsimane,0,None,3.655257
8,8,tsimane,0,None,3.483802
9,9,tsimane,0,None,3.592026
10,10,tsimane,0,None,3.339288
11,11,tsimane,0,None,3.077027
12,12,tsimane,0,None,4.007123
13,13,tsimane,0,None,4.446951
14,14,tsimane,0,None,3.518223
15,15,tsimane,0,None,5.563180
16,16,tsimane,0,None,6.216947
17,17,tsimane,0,None,3.137887
18,18,tsimane,0,None,3.296136
19,19,tsimane,0,None,3.062916
20,20,tsimane,0,None,3.147920
21,21,tsimane,0,None,3.453727
22,22,tsimane,0,None,2.831324
23,23,tsimane,0,None,2.796848
24,24,tsimane,0,None,3.992277
25,25,tsimane,0,None,3.283848
26,26,tsimane,0,None,6.411196
27,27,tsimane,0,None,5.140754
28,28,tsimane,0,None,5.875171
29,29,tsimane,0,None,3.512505
30,30,tsimane,0,None,3.319295
31,31,tsimane,0,None,2.072746
32,32,tsimane,0,None,2.809984
33,33,tsimane,0,None,2.287378
34,34,tsimane,0,None,4.648086
35,35,tsimane,0,None,3.373435
36,36,tsimane,0,None,4.197337
37,37,tsimane,0,None,3.363855
38,38,tsimane,0,None,3.904659
39,39,tsimane,0,None,3.841491
40,40,tsimane,0,None,3.841491
41,41,tsimane,0,None,3.841491
42,42,tsimane,0,None,4.427257
43,43,tsimane,0,None,5.603997
44,44,tsimane,0,None,4.801024
45,45,tsimane,0,None,4.509765
46,46,tsimane,0,None,4.057136
47,47,tsimane,0,None,4.417331
48,48,tsimane,0,None,6.270271
49,49,tsimane,0,None,4.961224
50,50,tsimane,0,None,5.105524
51,51,tsimane,0,None,5.322965
52,52,tsimane,0,None,3.587606
53,53,tsimane,0,None,4.155255
54,54,tsimane,0,None,4.636167
55,55,tsimane,0,None,7.379618
56,56,tsimane,0,None,8.078679
57,57,tsimane,0,None,4.792921
58,58,tsimane,0,None,4.362561
59,59,tsimane,0,None,3.543712
60,60,tsimane,0,None,3.254512
61,61,tsimane,0,None,5.402480
62,62,tsimane,0,None,3.012620
63,63,tsimane,0,None,2.576055
64,64,tsimane,0,None,4.532413
65,65,tsimane,0,None,3.194688
66,66,tsimane,0,None,3.313549
67,67,tsimane,0,None,3.125914
68,68,tsimane,0,None,3.116339
69,69,tsimane,0,None,3.876717
70,70,tsimane,0,None,2.846997
71,71,tsimane,0,None,3.214030
72,72,tsimane,0,None,3.698759
73,73,tsimane,0,None,2.701078
74,74,tsimane,0,None,2.440166
75,75,tsimane,0,None,5.039139
76,76,tsimane,0,None,4.379831
77,77,tsimane,0,None,3.822080
78,78,tsimane,0,None,3.174800
79,79,tsimane,0,None,3.161162
80,80,tsimane,0,None,3.410557
81,81,tsimane,0,None,2.834716
82,82,tsimane,0,None,3.301317
83,83,tsimane,0,None,2.626584
84,84,tsimane,0,None,3.139230
85,85,tsimane,0,None,3.300987
86,86,tsimane,0,None,4.196626
87,87,tsimane,0,None,3.659023
88,88,tsimane,0,None,3.824289
89,89,tsimane,0,None,3.804422
90,90,tsimane,0,None,3.371012
91,91,tsimane,0,None,3.645721
92,92,tsimane,0,None,3.384995
93,93,tsimane,0,None,2.577096
94,94,tsimane,0,None,2.560802
95,95,tsimane,0,None,3.005662
96,96,tsimane,0,None,3.247560
97,97,tsimane,0,None,3.831789
98,98,tsimane,0,None,5.483784
99,99,tsimane,0,None,4.672028
100,100,tsimane,0,None,4.220702
101,101,tsimane,0,None,3.967261
102,102,tsimane,0,None,4.170220
103,103,tsimane,0,None,4.098950
104,104,tsimane,0,None,3.710905
105,105,tsimane,0,None,3.396766
106,106,tsimane,0,None,4.001851
107,107,tsimane,0,None,3.223944
108,108,tsimane,0,None,2.329684
109,109,tsimane,0,None,3.502904
110,110,tsimane,0,None,1.879105
111,111,tsimane,0,None,2.072553
112,112,tsimane,0,None,2.287355
113,113,tsimane,0,None,2.207308
114,114,tsimane,0,None,3.631105
115,115,tsimane,0,None,3.179671
116,116,tsimane,0,None,4.060484
117,117,tsimane,0,None,3.724105
118,118,tsimane,0,None,4.440759
119,119,tsimane,0,None,4.912681
120,120,tsimane,0,None,3.415916
121,121,tsimane,0,None,3.590081
122,122,tsimane,0,None,3.441292
123,123,tsimane,0,None,2.896549
124,124,tsimane,0,None,2.464067
125,125,tsimane,0,None,2.553637
126,126,tsimane,0,None,2.553637
