sample,thin_sample,who,which,forward,value
0,0,kids,OMCO,None,0.075714
0,0,kids,OCOM,None,0.109542
0,0,kids,OOMC,None,0.353989
0,0,kids,OMOC,None,0.039293
0,0,kids,OOCM,None,0.234947
0,0,kids,OCCO,None,0.041667
0,0,kids,CCOO,None,0.050243
0,0,kids,COCO,None,0.038042
0,0,kids,COOM,None,0.056563
1,1,kids,OMCO,None,0.075264
1,1,kids,OCOM,None,0.114472
1,1,kids,OOMC,None,0.351988
1,1,kids,OMOC,None,0.033534
1,1,kids,OOCM,None,0.235941
1,1,kids,OCCO,None,0.045698
1,1,kids,CCOO,None,0.049018
1,1,kids,COCO,None,0.041078
1,1,kids,COOM,None,0.053006
2,2,kids,OMCO,None,0.074536
2,2,kids,OCOM,None,0.113668
2,2,kids,OOMC,None,0.350873
2,2,kids,OMOC,None,0.034953
2,2,kids,OOCM,None,0.237357
2,2,kids,OCCO,None,0.045668
2,2,kids,CCOO,None,0.050054
2,2,kids,COCO,None,0.040532
2,2,kids,COOM,None,0.052359
3,3,kids,OMCO,None,0.085789
3,3,kids,OCOM,None,0.112125
3,3,kids,OOMC,None,0.307661
3,3,kids,OMOC,None,0.029773
3,3,kids,OOCM,None,0.268066
3,3,kids,OCCO,None,0.040160
3,3,kids,CCOO,None,0.055039
3,3,kids,COCO,None,0.041014
3,3,kids,COOM,None,0.060372
4,4,kids,OMCO,None,0.086881
4,4,kids,OCOM,None,0.115425
4,4,kids,OOMC,None,0.304862
4,4,kids,OMOC,None,0.030255
4,4,kids,OOCM,None,0.262917
4,4,kids,OCCO,None,0.040543
4,4,kids,CCOO,None,0.055991
4,4,kids,COCO,None,0.041808
4,4,kids,COOM,None,0.061318
5,5,kids,OMCO,None,0.062603
5,5,kids,OCOM,None,0.089270
5,5,kids,OOMC,None,0.256792
5,5,kids,OMOC,None,0.040462
5,5,kids,OOCM,None,0.352342
5,5,kids,OCCO,None,0.047276
5,5,kids,CCOO,None,0.044562
5,5,kids,COCO,None,0.033093
5,5,kids,COOM,None,0.073600
6,6,kids,OMCO,None,0.064700
6,6,kids,OCOM,None,0.093729
6,6,kids,OOMC,None,0.234886
6,6,kids,OMOC,None,0.048639
6,6,kids,OOCM,None,0.368922
6,6,kids,OCCO,None,0.045366
6,6,kids,CCOO,None,0.050422
6,6,kids,COCO,None,0.039051
6,6,kids,COOM,None,0.054285
7,7,kids,OMCO,None,0.068767
7,7,kids,OCOM,None,0.113821
7,7,kids,OOMC,None,0.290681
7,7,kids,OMOC,None,0.045773
7,7,kids,OOCM,None,0.273172
7,7,kids,OCCO,None,0.065017
7,7,kids,CCOO,None,0.057752
7,7,kids,COCO,None,0.041417
7,7,kids,COOM,None,0.043600
8,8,kids,OMCO,None,0.056630
8,8,kids,OCOM,None,0.090759
8,8,kids,OOMC,None,0.220966
8,8,kids,OMOC,None,0.086904
8,8,kids,OOCM,None,0.333542
8,8,kids,OCCO,None,0.029020
8,8,kids,CCOO,None,0.045865
8,8,kids,COCO,None,0.053694
8,8,kids,COOM,None,0.082620
9,9,kids,OMCO,None,0.059949
9,9,kids,OCOM,None,0.109338
9,9,kids,OOMC,None,0.319290
9,9,kids,OMOC,None,0.071640
9,9,kids,OOCM,None,0.258802
9,9,kids,OCCO,None,0.054179
9,9,kids,CCOO,None,0.038675
9,9,kids,COCO,None,0.036766
9,9,kids,COOM,None,0.051362
10,10,kids,OMCO,None,0.049846
10,10,kids,OCOM,None,0.089627
10,10,kids,OOMC,None,0.251997
10,10,kids,OMOC,None,0.068425
10,10,kids,OOCM,None,0.302928
10,10,kids,OCCO,None,0.056072
10,10,kids,CCOO,None,0.047786
10,10,kids,COCO,None,0.051239
10,10,kids,COOM,None,0.082078
11,11,kids,OMCO,None,0.050378
11,11,kids,OCOM,None,0.095638
11,11,kids,OOMC,None,0.311655
11,11,kids,OMOC,None,0.051747
11,11,kids,OOCM,None,0.348781
11,11,kids,OCCO,None,0.029131
11,11,kids,CCOO,None,0.047755
11,11,kids,COCO,None,0.020431
11,11,kids,COOM,None,0.044482
12,12,kids,OMCO,None,0.054154
12,12,kids,OCOM,None,0.096008
12,12,kids,OOMC,None,0.319989
12,12,kids,OMOC,None,0.047307
12,12,kids,OOCM,None,0.347241
12,12,kids,OCCO,None,0.029574
12,12,kids,CCOO,None,0.041091
12,12,kids,COCO,None,0.021899
12,12,kids,COOM,None,0.042737
13,13,kids,OMCO,None,0.056064
13,13,kids,OCOM,None,0.092614
13,13,kids,OOMC,None,0.319656
13,13,kids,OMOC,None,0.049072
13,13,kids,OOCM,None,0.344969
13,13,kids,OCCO,None,0.029861
13,13,kids,CCOO,None,0.039874
13,13,kids,COCO,None,0.023636
13,13,kids,COOM,None,0.044254
14,14,kids,OMCO,None,0.032083
14,14,kids,OCOM,None,0.071323
14,14,kids,OOMC,None,0.340173
14,14,kids,OMOC,None,0.073161
14,14,kids,OOCM,None,0.253484
