sample,thin_sample,who,which,forward,value
0,0,monkeys,OMCO,None,0.119710
0,0,monkeys,OCOM,None,0.038708
0,0,monkeys,OOMC,None,0.198373
0,0,monkeys,OMOC,None,0.240633
0,0,monkeys,OOCM,None,0.191461
0,0,monkeys,OCCO,None,0.134090
0,0,monkeys,CCOO,None,0.027012
0,0,monkeys,COCO,None,0.021731
0,0,monkeys,COOM,None,0.028282
1,1,monkeys,OMCO,None,0.128898
1,1,monkeys,OCOM,None,0.105859
1,1,monkeys,OOMC,None,0.324818
1,1,monkeys,OMOC,None,0.150319
1,1,monkeys,OOCM,None,0.127227
1,1,monkeys,OCCO,None,0.057449
1,1,monkeys,CCOO,None,0.029860
1,1,monkeys,COCO,None,0.032530
1,1,monkeys,COOM,None,0.043040
2,2,monkeys,OMCO,None,0.113603
2,2,monkeys,OCOM,None,0.120467
2,2,monkeys,OOMC,None,0.310842
2,2,monkeys,OMOC,None,0.144858
2,2,monkeys,OOCM,None,0.134870
2,2,monkeys,OCCO,None,0.060532
2,2,monkeys,CCOO,None,0.032255
2,2,monkeys,COCO,None,0.042566
2,2,monkeys,COOM,None,0.040007
3,3,monkeys,OMCO,None,0.148830
3,3,monkeys,OCOM,None,0.074827
3,3,monkeys,OOMC,None,0.326101
3,3,monkeys,OMOC,None,0.164669
3,3,monkeys,OOCM,None,0.102046
3,3,monkeys,OCCO,None,0.075266
3,3,monkeys,CCOO,None,0.061016
3,3,monkeys,COCO,None,0.020807
3,3,monkeys,COOM,None,0.026440
4,4,monkeys,OMCO,None,0.137766
4,4,monkeys,OCOM,None,0.144188
4,4,monkeys,OOMC,None,0.198900
4,4,monkeys,OMOC,None,0.165599
4,4,monkeys,OOCM,None,0.132444
4,4,monkeys,OCCO,None,0.094538
4,4,monkeys,CCOO,None,0.058173
4,4,monkeys,COCO,None,0.024757
4,4,monkeys,COOM,None,0.043636
5,5,monkeys,OMCO,None,0.109339
5,5,monkeys,OCOM,None,0.026957
5,5,monkeys,OOMC,None,0.233210
5,5,monkeys,OMOC,None,0.278409
5,5,monkeys,OOCM,None,0.061207
5,5,monkeys,OCCO,None,0.136400
5,5,monkeys,CCOO,None,0.039305
5,5,monkeys,COCO,None,0.074545
5,5,monkeys,COOM,None,0.040627
6,6,monkeys,OMCO,None,0.093124
6,6,monkeys,OCOM,None,0.129615
6,6,monkeys,OOMC,None,0.148665
6,6,monkeys,OMOC,None,0.199987
6,6,monkeys,OOCM,None,0.158602
6,6,monkeys,OCCO,None,0.109559
6,6,monkeys,CCOO,None,0.038723
6,6,monkeys,COCO,None,0.060072
6,6,monkeys,COOM,None,0.061653
7,7,monkeys,OMCO,None,0.082517
7,7,monkeys,OCOM,None,0.074441
7,7,monkeys,OOMC,None,0.197967
7,7,monkeys,OMOC,None,0.240755
7,7,monkeys,OOCM,None,0.139114
7,7,monkeys,OCCO,None,0.118739
7,7,monkeys,CCOO,None,0.045003
7,7,monkeys,COCO,None,0.059720
7,7,monkeys,COOM,None,0.041745
8,8,monkeys,OMCO,None,0.128505
8,8,monkeys,OCOM,None,0.056237
8,8,monkeys,OOMC,None,0.328106
8,8,monkeys,OMOC,None,0.147545
8,8,monkeys,OOCM,None,0.113053
8,8,monkeys,OCCO,None,0.105527
8,8,monkeys,CCOO,None,0.039362
8,8,monkeys,COCO,None,0.019677
8,8,monkeys,COOM,None,0.061987
9,9,monkeys,OMCO,None,0.099673
9,9,monkeys,OCOM,None,0.126626
9,9,monkeys,OOMC,None,0.202452
9,9,monkeys,OMOC,None,0.180592
9,9,monkeys,OOCM,None,0.156151
9,9,monkeys,OCCO,None,0.129713
9,9,monkeys,CCOO,None,0.018986
9,9,monkeys,COCO,None,0.042518
9,9,monkeys,COOM,None,0.043289
10,10,monkeys,OMCO,None,0.107697
10,10,monkeys,OCOM,None,0.073727
10,10,monkeys,OOMC,None,0.209093
10,10,monkeys,OMOC,None,0.208492
10,10,monkeys,OOCM,None,0.230497
10,10,monkeys,OCCO,None,0.083243
10,10,monkeys,CCOO,None,0.024505
10,10,monkeys,COCO,None,0.047737
10,10,monkeys,COOM,None,0.015008
11,11,monkeys,OMCO,None,0.059304
11,11,monkeys,OCOM,None,0.155505
11,11,monkeys,OOMC,None,0.370925
11,11,monkeys,OMOC,None,0.126685
11,11,monkeys,OOCM,None,0.082115
11,11,monkeys,OCCO,None,0.072896
11,11,monkeys,CCOO,None,0.010114
11,11,monkeys,COCO,None,0.022647
11,11,monkeys,COOM,None,0.099810
12,12,monkeys,OMCO,None,0.085027
12,12,monkeys,OCOM,None,0.204458
12,12,monkeys,OOMC,None,0.311844
12,12,monkeys,OMOC,None,0.094540
12,12,monkeys,OOCM,None,0.115887
12,12,monkeys,OCCO,None,0.040529
12,12,monkeys,CCOO,None,0.010564
12,12,monkeys,COCO,None,0.032644
12,12,monkeys,COOM,None,0.104508
13,13,monkeys,OMCO,None,0.077531
13,13,monkeys,OCOM,None,0.084368
13,13,monkeys,OOMC,None,0.268756
13,13,monkeys,OMOC,None,0.145900
13,13,monkeys,OOCM,None,0.125754
13,13,monkeys,OCCO,None,0.076302
13,13,monkeys,CCOO,None,0.078808
13,13,monkeys,COCO,None,0.026855
13,13,monkeys,COOM,None,0.115727
14,14,monkeys,OMCO,None,0.073495
14,14,monkeys,OCOM,None,0.097508
14,14,monkeys,OOMC,None,0.222390
14,14,monkeys,OMOC,None,0.138912
14,14,monkeys,OOCM,None,0.158956
14,14,monkeys,OCCO,None,0.089529
14,14,monkeys,CCOO,None,0.069365
14,14,monkeys,COCO,None,0.038495
14,14,monkeys,COOM,None,0.111350
15,15,monkeys,OMCO,None,0.254006
15,15,monkeys,OCOM,None,0.089560
15,15,monkeys,OOMC,None,0.183227
15,15,monkeys,OMOC,None,0.124901
15,15,monkeys,OOCM,None,0.074602
15,15,monkeys,OCCO,None,0.076055
15,15,monkeys,CCOO,None,0.054227
15,15,monkeys,COCO,None,0.095401
15,15,monkeys,COOM,None,0.048020
16,16,monkeys,OMCO,None,0.120945
16,16,monkeys,OCOM,None,0.081147
16,16,monkeys,OOMC,None,0.228706
16,16,monkeys,OMOC,None,0.232251
16,16,monkeys,OOCM,None,0.073775
16,16,monkeys,OCCO,None,0.132782
16,16,monkeys,CCOO,None,0.059425
16,16,monkeys,COCO,None,0.053450
16,16,monkeys,COOM,None,0.017518
17,17,monkeys,OMCO,None,0.097386
17,17,monkeys,OCOM,None,0.149586
17,17,monkeys,OOMC,None,0.292363
17,17,monkeys,OMOC,None,0.042185
17,17,monkeys,OOCM,None,0.257140
17,17,monkeys,OCCO,None,0.034963
17,17,monkeys,CCOO,None,0.017591
17,17,monkeys,COCO,None,0.038823
17,17,monkeys,COOM,None,0.069962
