sample,thin_sample,who,which,forward,value
0,0,tsimane,OMCO,None,0.051014
0,0,tsimane,OCOM,None,0.112777
0,0,tsimane,OOMC,None,0.305778
0,0,tsimane,OMOC,None,0.033783
0,0,tsimane,OOCM,None,0.314726
0,0,tsimane,OCCO,None,0.031078
0,0,tsimane,CCOO,None,0.046052
0,0,tsimane,COCO,None,0.056562
0,0,tsimane,COOM,None,0.048231
1,1,tsimane,OMCO,None,0.042913
1,1,tsimane,OCOM,None,0.120677
1,1,tsimane,OOMC,None,0.534223
1,1,tsimane,OMOC,None,0.030695
1,1,tsimane,OOCM,None,0.128795
1,1,tsimane,OCCO,None,0.038395
1,1,tsimane,CCOO,None,0.020382
1,1,tsimane,COCO,None,0.028127
1,1,tsimane,COOM,None,0.055792
2,2,tsimane,OMCO,None,0.044726
2,2,tsimane,OCOM,None,0.114293
2,2,tsimane,OOMC,None,0.509271
2,2,tsimane,OMOC,None,0.035631
2,2,tsimane,OOCM,None,0.150030
2,2,tsimane,OCCO,None,0.041923
2,2,tsimane,CCOO,None,0.019335
2,2,tsimane,COCO,None,0.031559
2,2,tsimane,COOM,None,0.053233
3,3,tsimane,OMCO,None,0.036077
3,3,tsimane,OCOM,None,0.110400
3,3,tsimane,OOMC,None,0.416149
3,3,tsimane,OMOC,None,0.056692
3,3,tsimane,OOCM,None,0.233873
3,3,tsimane,OCCO,None,0.037603
3,3,tsimane,CCOO,None,0.039746
3,3,tsimane,COCO,None,0.026225
3,3,tsimane,COOM,None,0.043236
4,4,tsimane,OMCO,None,0.042589
4,4,tsimane,OCOM,None,0.127606
4,4,tsimane,OOMC,None,0.402936
4,4,tsimane,OMOC,None,0.049518
4,4,tsimane,OOCM,None,0.211422
4,4,tsimane,OCCO,None,0.041893
4,4,tsimane,CCOO,None,0.040240
4,4,tsimane,COCO,None,0.034817
4,4,tsimane,COOM,None,0.048979
5,5,tsimane,OMCO,None,0.023099
5,5,tsimane,OCOM,None,0.104017
5,5,tsimane,OOMC,None,0.282646
5,5,tsimane,OMOC,None,0.024609
5,5,tsimane,OOCM,None,0.407786
5,5,tsimane,OCCO,None,0.027969
5,5,tsimane,CCOO,None,0.031465
5,5,tsimane,COCO,None,0.038315
5,5,tsimane,COOM,None,0.060095
6,6,tsimane,OMCO,None,0.035249
6,6,tsimane,OCOM,None,0.114132
6,6,tsimane,OOMC,None,0.420439
6,6,tsimane,OMOC,None,0.022355
6,6,tsimane,OOCM,None,0.314919
6,6,tsimane,OCCO,None,0.024728
6,6,tsimane,CCOO,None,0.022260
6,6,tsimane,COCO,None,0.020275
6,6,tsimane,COOM,None,0.025642
7,7,tsimane,OMCO,None,0.037427
7,7,tsimane,OCOM,None,0.138680
7,7,tsimane,OOMC,None,0.542907
7,7,tsimane,OMOC,None,0.028929
7,7,tsimane,OOCM,None,0.125818
7,7,tsimane,OCCO,None,0.019408
7,7,tsimane,CCOO,None,0.029819
7,7,tsimane,COCO,None,0.028582
7,7,tsimane,COOM,None,0.048430
8,8,tsimane,OMCO,None,0.038075
8,8,tsimane,OCOM,None,0.081064
8,8,tsimane,OOMC,None,0.495739
8,8,tsimane,OMOC,None,0.031717
8,8,tsimane,OOCM,None,0.185244
8,8,tsimane,OCCO,None,0.026872
8,8,tsimane,CCOO,None,0.031299
8,8,tsimane,COCO,None,0.021805
8,8,tsimane,COOM,None,0.088186
9,9,tsimane,OMCO,None,0.030926
9,9,tsimane,OCOM,None,0.071000
9,9,tsimane,OOMC,None,0.470649
9,9,tsimane,OMOC,None,0.086844
9,9,tsimane,OOCM,None,0.185458
9,9,tsimane,OCCO,None,0.024632
9,9,tsimane,CCOO,None,0.053270
9,9,tsimane,COCO,None,0.021792
9,9,tsimane,COOM,None,0.055430
10,10,tsimane,OMCO,None,0.025738
10,10,tsimane,OCOM,None,0.072364
10,10,tsimane,OOMC,None,0.450699
10,10,tsimane,OMOC,None,0.023065
10,10,tsimane,OOCM,None,0.280031
10,10,tsimane,OCCO,None,0.031117
10,10,tsimane,CCOO,None,0.039342
10,10,tsimane,COCO,None,0.034392
10,10,tsimane,COOM,None,0.043251
11,11,tsimane,OMCO,None,0.030703
11,11,tsimane,OCOM,None,0.059864
11,11,tsimane,OOMC,None,0.490811
11,11,tsimane,OMOC,None,0.041334
11,11,tsimane,OOCM,None,0.249511
11,11,tsimane,OCCO,None,0.035703
11,11,tsimane,CCOO,None,0.038380
11,11,tsimane,COCO,None,0.029615
11,11,tsimane,COOM,None,0.024079
12,12,tsimane,OMCO,None,0.026497
12,12,tsimane,OCOM,None,0.076195
12,12,tsimane,OOMC,None,0.477118
12,12,tsimane,OMOC,None,0.037882
12,12,tsimane,OOCM,None,0.251835
12,12,tsimane,OCCO,None,0.034732
12,12,tsimane,CCOO,None,0.047738
12,12,tsimane,COCO,None,0.025735
12,12,tsimane,COOM,None,0.022267
13,13,tsimane,OMCO,None,0.032840
13,13,tsimane,OCOM,None,0.070612
13,13,tsimane,OOMC,None,0.382131
13,13,tsimane,OMOC,None,0.034738
13,13,tsimane,OOCM,None,0.352114
13,13,tsimane,OCCO,None,0.022437
13,13,tsimane,CCOO,None,0.028800
13,13,tsimane,COCO,None,0.021151
13,13,tsimane,COOM,None,0.055176
14,14,tsimane,OMCO,None,0.035226
14,14,tsimane,OCOM,None,0.073834
14,14,tsimane,OOMC,None,0.390055
14,14,tsimane,OMOC,None,0.044611
14,14,tsimane,OOCM,None,0.266622
14,14,tsimane,OCCO,None,0.048140
14,14,tsimane,CCOO,None,0.028954
14,14,tsimane,COCO,None,0.032711
14,14,tsimane,COOM,None,0.079847
15,15,tsimane,OMCO,None,0.019704
15,15,tsimane,OCOM,None,0.057205
15,15,tsimane,OOMC,None,0.440685
15,15,tsimane,OMOC,None,0.024095
15,15,tsimane,OOCM,None,0.335864
15,15,tsimane,OCCO,None,0.020812
15,15,tsimane,CCOO,None,0.029709
15,15,tsimane,COCO,None,0.014507
15,15,tsimane,COOM,None,0.057420
16,16,tsimane,OMCO,None,0.018411
16,16,tsimane,OCOM,None,0.053386
16,16,tsimane,OOMC,None,0.516003
16,16,tsimane,OMOC,None,0.035022
16,16,tsimane,OOCM,None,0.288091
16,16,tsimane,OCCO,None,0.015075
16,16,tsimane,CCOO,None,0.021134
16,16,tsimane,COCO,None,0.011892
16,16,tsimane,COOM,None,0.040986
17,17,tsimane,OMCO,None,0.035526
17,17,tsimane,OCOM,None,0.110469
17,17,tsimane,OOMC,None,0.374344
17,17,tsimane,OMOC,None,0.050475
17,17,tsimane,OOCM,None,0.251202
17,17,tsimane,OCCO,None,0.039770
17,17,tsimane,CCOO,None,0.047945
17,17,tsimane,COCO,None,0.038299
17,17,tsimane,COOM,None,0.051970
18,18,tsimane,OMCO,None,0.037015
18,18,tsimane,OCOM,None,0.051921
18,18,tsimane,OOMC,None,0.460082
18,18,tsimane,OMOC,None,0.032181
18,18,tsimane,OOCM,None,0.236954
18,18,tsimane,OCCO,None,0.027420
18,18,tsimane,CCOO,None,0.065384
18,18,tsimane,COCO,None,0.026250
18,18,tsimane,COOM,None,0.062792
19,19,tsimane,OMCO,None,0.040102
19,19,tsimane,OCOM,None,0.115551
19,19,tsimane,OOMC,None,0.324679
19,19,tsimane,OMOC,None,0.049255
19,19,tsimane,OOCM,None,0.286228
19,19,tsimane,OCCO,None,0.032874
19,19,tsimane,CCOO,None,0.050131
19,19,tsimane,COCO,None,0.032050
19,19,tsimane,COOM,None,0.069129
20,20,tsimane,OMCO,None,0.043535
20,20,tsimane,OCOM,None,0.048606
20,20,tsimane,OOMC,None,0.533266
20,20,tsimane,OMOC,None,0.034878
20,20,tsimane,OOCM,None,0.175052
20,20,tsimane,OCCO,None,0.020060
20,20,tsimane,CCOO,None,0.052323
20,20,tsimane,COCO,None,0.024067
