sample,thin_sample,who,part,digits,value
0,0,adults,0,None,0.019031
0,0,adults,1,None,0.002989
0,0,adults,2,None,0.002640
0,0,adults,3,None,0.002573
0,0,adults,4,None,0.027167
0,0,adults,5,None,0.001440
0,0,adults,6,None,0.002713
0,0,adults,7,None,0.006725
0,0,adults,8,None,0.039139
0,0,adults,9,None,0.021582
1,1,adults,0,None,0.003617
1,1,adults,1,None,0.006023
1,1,adults,2,None,0.002953
1,1,adults,3,None,0.018108
1,1,adults,4,None,0.003939
1,1,adults,5,None,0.020835
1,1,adults,6,None,0.025431
1,1,adults,7,None,0.017688
1,1,adults,8,None,0.000207
1,1,adults,9,None,0.004681
2,2,adults,0,None,0.009043
2,2,adults,1,None,0.005961
2,2,adults,2,None,0.006471
2,2,adults,3,None,0.037425
2,2,adults,4,None,0.003059
2,2,adults,5,None,0.010934
2,2,adults,6,None,0.006714
2,2,adults,7,None,0.032777
2,2,adults,8,None,0.000663
2,2,adults,9,None,0.020333
3,3,adults,0,None,0.018174
3,3,adults,1,None,0.005399
3,3,adults,2,None,0.005316
3,3,adults,3,None,0.013070
3,3,adults,4,None,0.003162
3,3,adults,5,None,0.013500
3,3,adults,6,None,0.009910
3,3,adults,7,None,0.015115
3,3,adults,8,None,0.001714
3,3,adults,9,None,0.002425
4,4,adults,0,None,0.003655
4,4,adults,1,None,0.017535
4,4,adults,2,None,0.004676
4,4,adults,3,None,0.005112
4,4,adults,4,None,0.004604
4,4,adults,5,None,0.009861
4,4,adults,6,None,0.002864
4,4,adults,7,None,0.003998
4,4,adults,8,None,0.022709
4,4,adults,9,None,0.013559
5,5,adults,0,None,0.005095
5,5,adults,1,None,0.001422
5,5,adults,2,None,0.017205
5,5,adults,3,None,0.001633
5,5,adults,4,None,0.005934
5,5,adults,5,None,0.009516
5,5,adults,6,None,0.009670
5,5,adults,7,None,0.013769
5,5,adults,8,None,0.006286
5,5,adults,9,None,0.008253
6,6,adults,0,None,0.002902
6,6,adults,1,None,0.003909
6,6,adults,2,None,0.013253
6,6,adults,3,None,0.001248
6,6,adults,4,None,0.015963
6,6,adults,5,None,0.004364
6,6,adults,6,None,0.021000
6,6,adults,7,None,0.020882
6,6,adults,8,None,0.012473
6,6,adults,9,None,0.017005
7,7,adults,0,None,0.006463
7,7,adults,1,None,0.024736
7,7,adults,2,None,0.010215
7,7,adults,3,None,0.042317
7,7,adults,4,None,0.005937
7,7,adults,5,None,0.002583
7,7,adults,6,None,0.001439
7,7,adults,7,None,0.001149
7,7,adults,8,None,0.008489
7,7,adults,9,None,0.005402
8,8,adults,0,None,0.003309
8,8,adults,1,None,0.002328
8,8,adults,2,None,0.057311
8,8,adults,3,None,0.003393
8,8,adults,4,None,0.013255
8,8,adults,5,None,0.031186
8,8,adults,6,None,0.002916
8,8,adults,7,None,0.000674
8,8,adults,8,None,0.008343
