sample,thin_sample,who,part,digits,value
0,0,kids,0,17,0.051484
0,0,kids,1,19,0.003092
0,0,kids,2,19,0.148266
0,0,kids,3,16,0.036168
0,0,kids,4,24,0.003052
0,0,kids,5,19,0.088785
0,0,kids,6,20,0.007616
0,0,kids,7,15,0.023767
0,0,kids,8,NA,0.027939
0,0,kids,9,19,0.153178
0,0,kids,10,15,0.070584
0,0,kids,11,19,0.046261
0,0,kids,12,10,0.024249
0,0,kids,13,12,0.068873
0,0,kids,14,16,0.000058
0,0,kids,15,12,0.223592
0,0,kids,16,17,0.028432
0,0,kids,17,24,0.028608
0,0,kids,18,33,0.006865
0,0,kids,19,20,0.048692
0,0,kids,20,25,0.014612
0,0,kids,21,15,0.012352
0,0,kids,22,15,0.10046
0,0,kids,23,15,0.021732
0,0,kids,24,16,0.06177
0,0,kids,25,22,0.111212
0,0,kids,26,21,0.018823
0,0,kids,27,17,0.213994
0,0,kids,28,30,0.012695
0,0,kids,29,14,0.008878
0,0,kids,30,20,0.012748
0,0,kids,31,13,0.101227
0,0,kids,32,NA,0.052577
1,1,kids,0,17,0.04571
1,1,kids,1,19,0.004246
1,1,kids,2,19,0.179935
1,1,kids,3,16,0.033855
1,1,kids,4,24,0.005548
1,1,kids,5,19,0.085711
1,1,kids,6,20,0.006561
1,1,kids,7,15,0.011672
1,1,kids,8,NA,0.032799
1,1,kids,9,19,0.196263
1,1,kids,10,15,0.073073
1,1,kids,11,19,0.043413
1,1,kids,12,10,0.103767
1,1,kids,13,12,0.085558
1,1,kids,14,16,0.000063
1,1,kids,15,12,0.22874
1,1,kids,16,17,0.037734
1,1,kids,17,24,0.022732
1,1,kids,18,33,0.005075
1,1,kids,19,20,0.026197
1,1,kids,20,25,0.01153
1,1,kids,21,15,0.019162
1,1,kids,22,15,0.106109
1,1,kids,23,15,0.020109
1,1,kids,24,16,0.071821
1,1,kids,25,22,0.084047
1,1,kids,26,21,0.016622
1,1,kids,27,17,0.156893
1,1,kids,28,30,0.016905
1,1,kids,29,14,0.008406
1,1,kids,30,20,0.015079
1,1,kids,31,13,0.078255
1,1,kids,32,NA,0.02816
2,2,kids,0,17,0.0423
2,2,kids,1,19,0.003653
2,2,kids,2,19,0.184588
2,2,kids,3,16,0.03345
2,2,kids,4,24,0.006202
2,2,kids,5,19,0.08888
2,2,kids,6,20,0.007102
2,2,kids,7,15,0.010994
2,2,kids,8,NA,0.034491
2,2,kids,9,19,0.195964
2,2,kids,10,15,0.077527
2,2,kids,11,19,0.045254
2,2,kids,12,10,0.083757
2,2,kids,13,12,0.09093
2,2,kids,14,16,0.000061
2,2,kids,15,12,0.227627
2,2,kids,16,17,0.041503
2,2,kids,17,24,0.022273
2,2,kids,18,33,0.004401
2,2,kids,19,20,0.030936
2,2,kids,20,25,0.009928
2,2,kids,21,15,0.019348
2,2,kids,22,15,0.108524
2,2,kids,23,15,0.018273
2,2,kids,24,16,0.069028
2,2,kids,25,22,0.085857
2,2,kids,26,21,0.015392
2,2,kids,27,17,0.156435
2,2,kids,28,30,0.018986
2,2,kids,29,14,0.008782
2,2,kids,30,20,0.012342
2,2,kids,31,13,0.079196
2,2,kids,32,NA,0.025414
3,3,kids,0,17,0.043865
3,3,kids,1,19,0.012151
3,3,kids,2,19,0.13454
3,3,kids,3,16,0.039263
3,3,kids,4,24,0.005157
3,3,kids,5,19,0.07826
3,3,kids,6,20,0.012515
3,3,kids,7,15,0.029203
3,3,kids,8,NA,0.051261
3,3,kids,9,19,0.141996
3,3,kids,10,15,0.074729
3,3,kids,11,19,0.017998
3,3,kids,12,10,0.054344
3,3,kids,13,12,0.045268
3,3,kids,14,16,0.00015
3,3,kids,15,12,0.174058
