sample,thin_sample,who,part,digits,value
0,0,monkeys,0,None,0.015844
0,0,monkeys,1,None,0.025626
0,0,monkeys,2,None,0.210499
1,1,monkeys,0,None,0.005925
1,1,monkeys,1,None,0.047327
1,1,monkeys,2,None,0.203725
2,2,monkeys,0,None,0.005518
2,2,monkeys,1,None,0.039718
2,2,monkeys,2,None,0.205809
3,3,monkeys,0,None,0.006721
3,3,monkeys,1,None,0.035361
3,3,monkeys,2,None,0.183748
4,4,monkeys,0,None,0.007129
4,4,monkeys,1,None,0.054168
4,4,monkeys,2,None,0.178486
5,5,monkeys,0,None,0.009534
5,5,monkeys,1,None,0.017493
5,5,monkeys,2,None,0.249367
6,6,monkeys,0,None,0.012959
6,6,monkeys,1,None,0.068952
6,6,monkeys,2,None,0.179875
7,7,monkeys,0,None,0.005454
7,7,monkeys,1,None,0.042699
7,7,monkeys,2,None,0.183507
8,8,monkeys,0,None,0.015168
8,8,monkeys,1,None,0.030474
8,8,monkeys,2,None,0.245108
9,9,monkeys,0,None,0.003627
9,9,monkeys,1,None,0.034710
9,9,monkeys,2,None,0.161202
10,10,monkeys,0,None,0.004255
10,10,monkeys,1,None,0.030772
10,10,monkeys,2,None,0.169671
11,11,monkeys,0,None,0.012647
11,11,monkeys,1,None,0.042289
11,11,monkeys,2,None,0.155742
12,12,monkeys,0,None,0.027896
12,12,monkeys,1,None,0.047973
12,12,monkeys,2,None,0.143254
13,13,monkeys,0,None,0.008332
13,13,monkeys,1,None,0.025468
13,13,monkeys,2,None,0.164334
14,14,monkeys,0,None,0.010647
14,14,monkeys,1,None,0.028299
14,14,monkeys,2,None,0.174996
15,15,monkeys,0,None,0.008498
15,15,monkeys,1,None,0.043410
15,15,monkeys,2,None,0.157489
16,16,monkeys,0,None,0.016459
16,16,monkeys,1,None,0.024567
16,16,monkeys,2,None,0.239684
17,17,monkeys,0,None,0.007296
17,17,monkeys,1,None,0.040894
17,17,monkeys,2,None,0.125810
18,18,monkeys,0,None,0.006701
18,18,monkeys,1,None,0.027385
18,18,monkeys,2,None,0.271754
19,19,monkeys,0,None,0.005962
19,19,monkeys,1,None,0.011750
19,19,monkeys,2,None,0.210771
20,20,monkeys,0,None,0.004416
20,20,monkeys,1,None,0.011961
20,20,monkeys,2,None,0.207941
21,21,monkeys,0,None,0.004486
21,21,monkeys,1,None,0.046682
21,21,monkeys,2,None,0.177186
22,22,monkeys,0,None,0.003882
22,22,monkeys,1,None,0.054363
22,22,monkeys,2,None,0.211461
23,23,monkeys,0,None,0.011782
23,23,monkeys,1,None,0.027826
23,23,monkeys,2,None,0.165504
24,24,monkeys,0,None,0.008776
24,24,monkeys,1,None,0.038074
24,24,monkeys,2,None,0.213828
25,25,monkeys,0,None,0.010329
25,25,monkeys,1,None,0.034975
25,25,monkeys,2,None,0.210339
26,26,monkeys,0,None,0.005750
26,26,monkeys,1,None,0.023461
26,26,monkeys,2,None,0.153319
27,27,monkeys,0,None,0.002092
27,27,monkeys,1,None,0.028550
27,27,monkeys,2,None,0.157326
28,28,monkeys,0,None,0.006367
28,28,monkeys,1,None,0.033485
28,28,monkeys,2,None,0.186489
29,29,monkeys,0,None,0.012481
29,29,monkeys,1,None,0.026281
29,29,monkeys,2,None,0.192299
30,30,monkeys,0,None,0.007451
30,30,monkeys,1,None,0.042172
30,30,monkeys,2,None,0.239854
31,31,monkeys,0,None,0.013833
31,31,monkeys,1,None,0.030220
31,31,monkeys,2,None,0.179927
32,32,monkeys,0,None,0.015175
32,32,monkeys,1,None,0.026461
32,32,monkeys,2,None,0.207757
33,33,monkeys,0,None,0.009086
33,33,monkeys,1,None,0.031054
33,33,monkeys,2,None,0.126111
34,34,monkeys,0,None,0.025582
34,34,monkeys,1,None,0.032640
34,34,monkeys,2,None,0.148301
35,35,monkeys,0,None,0.002529
35,35,monkeys,1,None,0.039039
35,35,monkeys,2,None,0.166896
36,36,monkeys,0,None,0.005924
36,36,monkeys,1,None,0.039225
36,36,monkeys,2,None,0.208942
37,37,monkeys,0,None,0.017241
37,37,monkeys,1,None,0.035790
37,37,monkeys,2,None,0.207398
38,38,monkeys,0,None,0.009265
38,38,monkeys,1,None,0.022076
38,38,monkeys,2,None,0.176894
39,39,monkeys,0,None,0.009287
39,39,monkeys,1,None,0.038540
39,39,monkeys,2,None,0.154613
40,40,monkeys,0,None,0.010313
40,40,monkeys,1,None,0.025801
40,40,monkeys,2,None,0.179542
41,41,monkeys,0,None,0.008984
41,41,monkeys,1,None,0.034102
41,41,monkeys,2,None,0.222854
42,42,monkeys,0,None,0.003838
42,42,monkeys,1,None,0.032972
42,42,monkeys,2,None,0.136154
43,43,monkeys,0,None,0.016494
43,43,monkeys,1,None,0.031640
43,43,monkeys,2,None,0.179899
44,44,monkeys,0,None,0.010347
44,44,monkeys,1,None,0.040373
44,44,monkeys,2,None,0.127361
45,45,monkeys,0,None,0.015389
45,45,monkeys,1,None,0.040376
45,45,monkeys,2,None,0.141776
46,46,monkeys,0,None,0.005237
46,46,monkeys,1,None,0.031137
46,46,monkeys,2,None,0.182527
47,47,monkeys,0,None,0.006725
47,47,monkeys,1,None,0.026633
47,47,monkeys,2,None,0.164939
48,48,monkeys,0,None,0.002364
48,48,monkeys,1,None,0.017705
48,48,monkeys,2,None,0.220488
49,49,monkeys,0,None,0.026182
49,49,monkeys,1,None,0.050258
49,49,monkeys,2,None,0.129310
50,50,monkeys,0,None,0.005802
50,50,monkeys,1,None,0.046985
50,50,monkeys,2,None,0.146246
51,51,monkeys,0,None,0.009663
51,51,monkeys,1,None,0.031378
51,51,monkeys,2,None,0.194463
52,52,monkeys,0,None,0.004141
52,52,monkeys,1,None,0.035063
52,52,monkeys,2,None,0.151577
53,53,monkeys,0,None,0.004672
53,53,monkeys,1,None,0.031485
53,53,monkeys,2,None,0.172724
54,54,monkeys,0,None,0.006256
54,54,monkeys,1,None,0.042945
54,54,monkeys,2,None,0.177352
55,55,monkeys,0,None,0.010456
55,55,monkeys,1,None,0.024770
55,55,monkeys,2,None,0.154312
56,56,monkeys,0,None,0.005589
56,56,monkeys,1,None,0.037094
56,56,monkeys,2,None,0.168407
57,57,monkeys,0,None,0.016121
57,57,monkeys,1,None,0.049650
57,57,monkeys,2,None,0.185885
58,58,monkeys,0,None,0.009041
58,58,monkeys,1,None,0.052824
58,58,monkeys,2,None,0.182147
59,59,monkeys,0,None,0.005280
59,59,monkeys,1,None,0.047147
59,59,monkeys,2,None,0.167510
60,60,monkeys,0,None,0.012253
60,60,monkeys,1,None,0.045765
60,60,monkeys,2,None,0.157411
61,61,monkeys,0,None,0.011309
61,61,monkeys,1,None,0.029454
61,61,monkeys,2,None,0.203923
62,62,monkeys,0,None,0.009639
62,62,monkeys,1,None,0.049999
62,62,monkeys,2,None,0.211784
63,63,monkeys,0,None,0.007905
63,63,monkeys,1,None,0.053477
63,63,monkeys,2,None,0.234421
64,64,monkeys,0,None,0.030433
64,64,monkeys,1,None,0.026723
64,64,monkeys,2,None,0.167906
65,65,monkeys,0,None,0.022216
65,65,monkeys,1,None,0.025443
65,65,monkeys,2,None,0.150269
66,66,monkeys,0,None,0.024762
66,66,monkeys,1,None,0.029930
66,66,monkeys,2,None,0.168989
67,67,monkeys,0,None,0.009309
67,67,monkeys,1,None,0.039775
67,67,monkeys,2,None,0.168131
68,68,monkeys,0,None,0.001585
68,68,monkeys,1,None,0.045834
68,68,monkeys,2,None,0.172831
69,69,monkeys,0,None,0.002832
69,69,monkeys,1,None,0.017254
69,69,monkeys,2,None,0.153533
70,70,monkeys,0,None,0.032591
70,70,monkeys,1,None,0.037276
70,70,monkeys,2,None,0.198750
71,71,monkeys,0,None,0.003405
71,71,monkeys,1,None,0.032219
71,71,monkeys,2,None,0.144048
72,72,monkeys,0,None,0.033604
72,72,monkeys,1,None,0.029668
72,72,monkeys,2,None,0.171885
73,73,monkeys,0,None,0.003653
73,73,monkeys,1,None,0.042361
73,73,monkeys,2,None,0.155163
74,74,monkeys,0,None,0.039091
74,74,monkeys,1,None,0.035828
74,74,monkeys,2,None,0.176200
75,75,monkeys,0,None,0.004628
75,75,monkeys,1,None,0.040065
75,75,monkeys,2,None,0.146550
76,76,monkeys,0,None,0.009659
76,76,monkeys,1,None,0.017080
76,76,monkeys,2,None,0.192775
77,77,monkeys,0,None,0.006777
77,77,monkeys,1,None,0.019059
77,77,monkeys,2,None,0.202974
78,78,monkeys,0,None,0.010963
78,78,monkeys,1,None,0.052157
78,78,monkeys,2,None,0.153998
79,79,monkeys,0,None,0.010371
79,79,monkeys,1,None,0.020239
79,79,monkeys,2,None,0.233766
80,80,monkeys,0,None,0.007581
80,80,monkeys,1,None,0.010407
80,80,monkeys,2,None,0.247890
81,81,monkeys,0,None,0.002917
81,81,monkeys,1,None,0.023191
81,81,monkeys,2,None,0.166973
82,82,monkeys,0,None,0.003869
82,82,monkeys,1,None,0.031632
82,82,monkeys,2,None,0.187018
83,83,monkeys,0,None,0.023388
83,83,monkeys,1,None,0.033557
83,83,monkeys,2,None,0.112318
84,84,monkeys,0,None,0.005299
84,84,monkeys,1,None,0.045279
84,84,monkeys,2,None,0.218495
