sample,thin_sample,who,part,digits,value
0,0,tsimane,0,None,0.070983
0,0,tsimane,1,None,0.042409
0,0,tsimane,2,None,0.024928
0,0,tsimane,3,None,0.007630
0,0,tsimane,4,None,0.004413
0,0,tsimane,5,None,0.015450
0,0,tsimane,6,None,0.046847
0,0,tsimane,7,None,0.010920
0,0,tsimane,8,None,0.016550
0,0,tsimane,9,None,0.036845
0,0,tsimane,10,None,0.035090
0,0,tsimane,11,None,0.000389
0,0,tsimane,12,None,0.011012
0,0,tsimane,13,None,0.017501
0,0,tsimane,14,None,0.065164
0,0,tsimane,15,None,0.007190
0,0,tsimane,16,None,0.003310
0,0,tsimane,17,None,0.010981
0,0,tsimane,18,None,0.001495
0,0,tsimane,19,None,0.012304
0,0,tsimane,20,None,0.044677
1,1,tsimane,0,None,0.007682
1,1,tsimane,1,None,0.040823
1,1,tsimane,2,None,0.054013
1,1,tsimane,3,None,0.009280
1,1,tsimane,4,None,0.009049
1,1,tsimane,5,None,0.002380
1,1,tsimane,6,None,0.022688
1,1,tsimane,7,None,0.017675
1,1,tsimane,8,None,0.009656
1,1,tsimane,9,None,0.016084
1,1,tsimane,10,None,0.050064
1,1,tsimane,11,None,0.000262
1,1,tsimane,12,None,0.010975
1,1,tsimane,13,None,0.074793
1,1,tsimane,14,None,0.067398
1,1,tsimane,15,None,0.005821
1,1,tsimane,16,None,0.051992
1,1,tsimane,17,None,0.010257
1,1,tsimane,18,None,0.005958
1,1,tsimane,19,None,0.022656
1,1,tsimane,20,None,0.031048
2,2,tsimane,0,None,0.007068
2,2,tsimane,1,None,0.055833
2,2,tsimane,2,None,0.045344
2,2,tsimane,3,None,0.008928
2,2,tsimane,4,None,0.009434
2,2,tsimane,5,None,0.002739
2,2,tsimane,6,None,0.039167
2,2,tsimane,7,None,0.016562
2,2,tsimane,8,None,0.009466
2,2,tsimane,9,None,0.015089
2,2,tsimane,10,None,0.035102
2,2,tsimane,11,None,0.000253
2,2,tsimane,12,None,0.016402
2,2,tsimane,13,None,0.065593
2,2,tsimane,14,None,0.056480
2,2,tsimane,15,None,0.004986
2,2,tsimane,16,None,0.054826
2,2,tsimane,17,None,0.010843
2,2,tsimane,18,None,0.005048
2,2,tsimane,19,None,0.023981
2,2,tsimane,20,None,0.027686
3,3,tsimane,0,None,0.056730
3,3,tsimane,1,None,0.010403
3,3,tsimane,2,None,0.004721
3,3,tsimane,3,None,0.020166
3,3,tsimane,4,None,0.058509
3,3,tsimane,5,None,0.025705
3,3,tsimane,6,None,0.032724
3,3,tsimane,7,None,0.046598
3,3,tsimane,8,None,0.039562
3,3,tsimane,9,None,0.169674
3,3,tsimane,10,None,0.000733
3,3,tsimane,11,None,0.008411
3,3,tsimane,12,None,0.037357
3,3,tsimane,13,None,0.008376
3,3,tsimane,14,None,0.052376
