sample,thin_sample,who,part,which,forward,value
0,0,monkeys,0,OMCO,0.0103526928015,0.077056
0,0,monkeys,0,OCOM,0.0103526928015,0.001838
0,0,monkeys,0,OOMC,0.0103526928015,0.026532
0,0,monkeys,0,OMOC,0.0103526928015,0.785792
0,0,monkeys,0,OOCM,0.0103526928015,0.079092
0,0,monkeys,0,OCCO,0.0103526928015,0.007463
0,0,monkeys,0,CCOO,0.0103526928015,0.006566
0,0,monkeys,0,COCO,0.0103526928015,0.000018
0,0,monkeys,0,COOM,0.0103526928015,0.015642
0,0,monkeys,1,OMCO,0.0347890709737,0.031370
0,0,monkeys,1,OCOM,0.0347890709737,0.009918
0,0,monkeys,1,OOMC,0.0347890709737,0.469551
0,0,monkeys,1,OMOC,0.0347890709737,0.130829
0,0,monkeys,1,OOCM,0.0347890709737,0.267013
0,0,monkeys,1,OCCO,0.0347890709737,0.075027
0,0,monkeys,1,CCOO,0.0347890709737,0.000000
0,0,monkeys,1,COCO,0.0347890709737,0.016231
0,0,monkeys,1,COOM,0.0347890709737,0.000060
0,0,monkeys,2,OMCO,0.175595071568,0.113990
0,0,monkeys,2,OCOM,0.175595071568,0.004364
0,0,monkeys,2,OOMC,0.175595071568,0.354321
0,0,monkeys,2,OMOC,0.175595071568,0.241893
0,0,monkeys,2,OOCM,0.175595071568,0.200969
0,0,monkeys,2,OCCO,0.175595071568,0.070300
0,0,monkeys,2,CCOO,0.175595071568,0.000785
0,0,monkeys,2,COCO,0.175595071568,0.000000
0,0,monkeys,2,COOM,0.175595071568,0.013379
1,1,monkeys,0,OMCO,0.0103526928015,0.131605
1,1,monkeys,0,OCOM,0.0103526928015,0.017625
1,1,monkeys,0,OOMC,0.0103526928015,0.076935
1,1,monkeys,0,OMOC,0.0103526928015,0.667787
1,1,monkeys,0,OOCM,0.0103526928015,0.040492
1,1,monkeys,0,OCCO,0.0103526928015,0.040226
1,1,monkeys,0,CCOO,0.0103526928015,0.001531
1,1,monkeys,0,COCO,0.0103526928015,0.011996
1,1,monkeys,0,COOM,0.0103526928015,0.011804
1,1,monkeys,1,OMCO,0.0347890709737,0.120426
1,1,monkeys,1,OCOM,0.0347890709737,0.050626
1,1,monkeys,1,OOMC,0.0347890709737,0.410861
1,1,monkeys,1,OMOC,0.0347890709737,0.070999
1,1,monkeys,1,OOCM,0.0347890709737,0.323358
1,1,monkeys,1,OCCO,0.0347890709737,0.014579
1,1,monkeys,1,CCOO,0.0347890709737,0.009151
1,1,monkeys,1,COCO,0.0347890709737,0.000001
1,1,monkeys,1,COOM,0.0347890709737,0.000000
1,1,monkeys,2,OMCO,0.175595071568,0.239314
1,1,monkeys,2,OCOM,0.175595071568,0.014152
1,1,monkeys,2,OOMC,0.175595071568,0.585840
1,1,monkeys,2,OMOC,0.175595071568,0.039817
1,1,monkeys,2,OOCM,0.175595071568,0.092602
1,1,monkeys,2,OCCO,0.175595071568,0.027725
1,1,monkeys,2,CCOO,0.175595071568,0.000020
1,1,monkeys,2,COCO,0.175595071568,0.000529
1,1,monkeys,2,COOM,0.175595071568,0.000000
2,2,monkeys,0,OMCO,0.0103526928015,0.125307
2,2,monkeys,0,OCOM,0.0103526928015,0.024018
2,2,monkeys,0,OOMC,0.0103526928015,0.082519
2,2,monkeys,0,OMOC,0.0103526928015,0.664802
2,2,monkeys,0,OOCM,0.0103526928015,0.038397
2,2,monkeys,0,OCCO,0.0103526928015,0.039563
2,2,monkeys,0,CCOO,0.0103526928015,0.003151
2,2,monkeys,0,COCO,0.0103526928015,0.001153
2,2,monkeys,0,COOM,0.0103526928015,0.021090
2,2,monkeys,1,OMCO,0.0347890709737,0.134191
2,2,monkeys,1,OCOM,0.0347890709737,0.055005
2,2,monkeys,1,OOMC,0.0347890709737,0.385664
2,2,monkeys,1,OMOC,0.0347890709737,0.082301
2,2,monkeys,1,OOCM,0.0347890709737,0.322699
2,2,monkeys,1,OCCO,0.0347890709737,0.016025
2,2,monkeys,1,CCOO,0.0347890709737,0.004114
2,2,monkeys,1,COCO,0.0347890709737,0.000000
2,2,monkeys,1,COOM,0.0347890709737,0.000000
2,2,monkeys,2,OMCO,0.175595071568,0.235897
2,2,monkeys,2,OCOM,0.175595071568,0.018271
2,2,monkeys,2,OOMC,0.175595071568,0.597598
2,2,monkeys,2,OMOC,0.175595071568,0.048228
2,2,monkeys,2,OOCM,0.175595071568,0.072794
2,2,monkeys,2,OCCO,0.175595071568,0.024057
2,2,monkeys,2,CCOO,0.175595071568,0.000239
2,2,monkeys,2,COCO,0.175595071568,0.002909
2,2,monkeys,2,COOM,0.175595071568,0.000007
3,3,monkeys,0,OMCO,0.0103526928015,0.199462
3,3,monkeys,0,OCOM,0.0103526928015,0.002580
3,3,monkeys,0,OOMC,0.0103526928015,0.020423
3,3,monkeys,0,OMOC,0.0103526928015,0.731750
3,3,monkeys,0,OOCM,0.0103526928015,0.040136
3,3,monkeys,0,OCCO,0.0103526928015,0.001261
3,3,monkeys,0,CCOO,0.0103526928015,0.000448
3,3,monkeys,0,COCO,0.0103526928015,0.000596
3,3,monkeys,0,COOM,0.0103526928015,0.003345
3,3,monkeys,1,OMCO,0.0347890709737,0.128704
3,3,monkeys,1,OCOM,0.0347890709737,0.020005
3,3,monkeys,1,OOMC,0.0347890709737,0.399365
3,3,monkeys,1,OMOC,0.0347890709737,0.147056
3,3,monkeys,1,OOCM,0.0347890709737,0.290100
3,3,monkeys,1,OCCO,0.0347890709737,0.001724
3,3,monkeys,1,CCOO,0.0347890709737,0.013014
3,3,monkeys,1,COCO,0.0347890709737,0.000029
3,3,monkeys,1,COOM,0.0347890709737,0.000003
3,3,monkeys,2,OMCO,0.175595071568,0.093126
3,3,monkeys,2,OCOM,0.175595071568,0.023684
3,3,monkeys,2,OOMC,0.175595071568,0.605788
3,3,monkeys,2,OMOC,0.175595071568,0.184214
3,3,monkeys,2,OOCM,0.175595071568,0.003015
3,3,monkeys,2,OCCO,0.175595071568,0.085930
3,3,monkeys,2,CCOO,0.175595071568,0.001335
3,3,monkeys,2,COCO,0.175595071568,0.000054
3,3,monkeys,2,COOM,0.175595071568,0.002854
4,4,monkeys,0,OMCO,0.0103526928015,0.146344
4,4,monkeys,0,OCOM,0.0103526928015,0.038966
4,4,monkeys,0,OOMC,0.0103526928015,0.091421
4,4,monkeys,0,OMOC,0.0103526928015,0.664736
4,4,monkeys,0,OOCM,0.0103526928015,0.037673
4,4,monkeys,0,OCCO,0.0103526928015,0.008200
4,4,monkeys,0,CCOO,0.0103526928015,0.001094
4,4,monkeys,0,COCO,0.0103526928015,0.000501
4,4,monkeys,0,COOM,0.0103526928015,0.011063
4,4,monkeys,1,OMCO,0.0347890709737,0.051562
4,4,monkeys,1,OCOM,0.0347890709737,0.113075
4,4,monkeys,1,OOMC,0.0347890709737,0.439254
4,4,monkeys,1,OMOC,0.0347890709737,0.056214
4,4,monkeys,1,OOCM,0.0347890709737,0.320740
4,4,monkeys,1,OCCO,0.0347890709737,0.017469
4,4,monkeys,1,CCOO,0.0347890709737,0.000499
4,4,monkeys,1,COCO,0.0347890709737,0.000000
4,4,monkeys,1,COOM,0.0347890709737,0.001187
4,4,monkeys,2,OMCO,0.175595071568,0.091546
4,4,monkeys,2,OCOM,0.175595071568,0.009470
4,4,monkeys,2,OOMC,0.175595071568,0.570925
4,4,monkeys,2,OMOC,0.175595071568,0.130281
4,4,monkeys,2,OOCM,0.175595071568,0.003880
4,4,monkeys,2,OCCO,0.175595071568,0.175784
4,4,monkeys,2,CCOO,0.175595071568,0.011296
4,4,monkeys,2,COCO,0.175595071568,0.000002
4,4,monkeys,2,COOM,0.175595071568,0.006817
5,5,monkeys,0,OMCO,0.0103526928015,0.135592
5,5,monkeys,0,OCOM,0.0103526928015,0.002446
5,5,monkeys,0,OOMC,0.0103526928015,0.006464
5,5,monkeys,0,OMOC,0.0103526928015,0.693337
5,5,monkeys,0,OOCM,0.0103526928015,0.078295
5,5,monkeys,0,OCCO,0.0103526928015,0.060602
5,5,monkeys,0,CCOO,0.0103526928015,0.000130
5,5,monkeys,0,COCO,0.0103526928015,0.003778
5,5,monkeys,0,COOM,0.0103526928015,0.019356
5,5,monkeys,1,OMCO,0.0347890709737,0.048042
5,5,monkeys,1,OCOM,0.0347890709737,0.003795
5,5,monkeys,1,OOMC,0.0347890709737,0.383815
5,5,monkeys,1,OMOC,0.0347890709737,0.151507
5,5,monkeys,1,OOCM,0.0347890709737,0.352422
5,5,monkeys,1,OCCO,0.0347890709737,0.033353
5,5,monkeys,1,CCOO,0.0347890709737,0.000656
5,5,monkeys,1,COCO,0.0347890709737,0.006926
5,5,monkeys,1,COOM,0.0347890709737,0.019482
5,5,monkeys,2,OMCO,0.175595071568,0.182440
5,5,monkeys,2,OCOM,0.175595071568,0.011980
5,5,monkeys,2,OOMC,0.175595071568,0.488383
5,5,monkeys,2,OMOC,0.175595071568,0.199455
5,5,monkeys,2,OOCM,0.175595071568,0.007226
5,5,monkeys,2,OCCO,0.175595071568,0.096590
5,5,monkeys,2,CCOO,0.175595071568,0.000190
5,5,monkeys,2,COCO,0.175595071568,0.000620
5,5,monkeys,2,COOM,0.175595071568,0.013116
6,6,monkeys,0,OMCO,0.0103526928015,0.174870
6,6,monkeys,0,OCOM,0.0103526928015,0.003656
6,6,monkeys,0,OOMC,0.0103526928015,0.016786
6,6,monkeys,0,OMOC,0.0103526928015,0.736970
6,6,monkeys,0,OOCM,0.0103526928015,0.043725
6,6,monkeys,0,OCCO,0.0103526928015,0.006009
6,6,monkeys,0,CCOO,0.0103526928015,0.000171
6,6,monkeys,0,COCO,0.0103526928015,0.002013
6,6,monkeys,0,COOM,0.0103526928015,0.015800
6,6,monkeys,1,OMCO,0.0347890709737,0.008857
6,6,monkeys,1,OCOM,0.0347890709737,0.055991
6,6,monkeys,1,OOMC,0.0347890709737,0.522790
6,6,monkeys,1,OMOC,0.0347890709737,0.080860
6,6,monkeys,1,OOCM,0.0347890709737,0.234407
6,6,monkeys,1,OCCO,0.0347890709737,0.083454
6,6,monkeys,1,CCOO,0.0347890709737,0.006809
6,6,monkeys,1,COCO,0.0347890709737,0.000882
6,6,monkeys,1,COOM,0.0347890709737,0.005949
6,6,monkeys,2,OMCO,0.175595071568,0.046798
6,6,monkeys,2,OCOM,0.175595071568,0.005665
6,6,monkeys,2,OOMC,0.175595071568,0.651421
6,6,monkeys,2,OMOC,0.175595071568,0.193262
6,6,monkeys,2,OOCM,0.175595071568,0.018415
6,6,monkeys,2,OCCO,0.175595071568,0.066761
6,6,monkeys,2,CCOO,0.175595071568,0.013649
6,6,monkeys,2,COCO,0.175595071568,0.002555
6,6,monkeys,2,COOM,0.175595071568,0.001473
7,7,monkeys,0,OMCO,0.0103526928015,0.136916
7,7,monkeys,0,OCOM,0.0103526928015,0.003011
7,7,monkeys,0,OOMC,0.0103526928015,0.004547
7,7,monkeys,0,OMOC,0.0103526928015,0.774364
7,7,monkeys,0,OOCM,0.0103526928015,0.042455
7,7,monkeys,0,OCCO,0.0103526928015,0.029058
7,7,monkeys,0,CCOO,0.0103526928015,0.000628
7,7,monkeys,0,COCO,0.0103526928015,0.000074
7,7,monkeys,0,COOM,0.0103526928015,0.008945
7,7,monkeys,1,OMCO,0.0347890709737,0.013382
7,7,monkeys,1,OCOM,0.0347890709737,0.048819
7,7,monkeys,1,OOMC,0.0347890709737,0.491445
7,7,monkeys,1,OMOC,0.0347890709737,0.186608
7,7,monkeys,1,OOCM,0.0347890709737,0.203766
7,7,monkeys,1,OCCO,0.0347890709737,0.041481
7,7,monkeys,1,CCOO,0.0347890709737,0.008960
7,7,monkeys,1,COCO,0.0347890709737,0.005223
7,7,monkeys,1,COOM,0.0347890709737,0.000315
7,7,monkeys,2,OMCO,0.175595071568,0.073381
7,7,monkeys,2,OCOM,0.175595071568,0.006562
7,7,monkeys,2,OOMC,0.175595071568,0.585091
7,7,monkeys,2,OMOC,0.175595071568,0.048824
7,7,monkeys,2,OOCM,0.175595071568,0.056600
7,7,monkeys,2,OCCO,0.175595071568,0.228508
7,7,monkeys,2,CCOO,0.175595071568,0.000096
7,7,monkeys,2,COCO,0.175595071568,0.000261
7,7,monkeys,2,COOM,0.175595071568,0.000677
8,8,monkeys,0,OMCO,0.0103526928015,0.162723
8,8,monkeys,0,OCOM,0.0103526928015,0.004365
8,8,monkeys,0,OOMC,0.0103526928015,0.098322
8,8,monkeys,0,OMOC,0.0103526928015,0.638329
8,8,monkeys,0,OOCM,0.0103526928015,0.065436
8,8,monkeys,0,OCCO,0.0103526928015,0.017815
8,8,monkeys,0,CCOO,0.0103526928015,0.005338
8,8,monkeys,0,COCO,0.0103526928015,0.003705
8,8,monkeys,0,COOM,0.0103526928015,0.003968
8,8,monkeys,1,OMCO,0.0347890709737,0.057229
8,8,monkeys,1,OCOM,0.0347890709737,0.022056
8,8,monkeys,1,OOMC,0.0347890709737,0.398069
8,8,monkeys,1,OMOC,0.0347890709737,0.194244
8,8,monkeys,1,OOCM,0.0347890709737,0.293227
8,8,monkeys,1,OCCO,0.0347890709737,0.020663
8,8,monkeys,1,CCOO,0.0347890709737,0.009824
8,8,monkeys,1,COCO,0.0347890709737,0.000541
8,8,monkeys,1,COOM,0.0347890709737,0.004146
8,8,monkeys,2,OMCO,0.175595071568,0.022530
8,8,monkeys,2,OCOM,0.175595071568,0.031814
8,8,monkeys,2,OOMC,0.175595071568,0.370819
8,8,monkeys,2,OMOC,0.175595071568,0.052777
8,8,monkeys,2,OOCM,0.175595071568,0.366392
8,8,monkeys,2,OCCO,0.175595071568,0.154928
8,8,monkeys,2,CCOO,0.175595071568,0.000144
8,8,monkeys,2,COCO,0.175595071568,0.000000
8,8,monkeys,2,COOM,0.175595071568,0.000596
