sample,thin_sample,who,part,digits,value
0,0,tsimane,0,None,47.218987
1,1,tsimane,0,None,70.358627
2,2,tsimane,0,None,47.160743
3,3,tsimane,0,None,51.911353
4,4,tsimane,0,None,54.454039
5,5,tsimane,0,None,46.050413
6,6,tsimane,0,None,39.653205
7,7,tsimane,0,None,27.970595
8,8,tsimane,0,None,25.063783
9,9,tsimane,0,None,18.850127
10,10,tsimane,0,None,14.315876
11,11,tsimane,0,None,21.027770
12,12,tsimane,0,None,8.448535
13,13,tsimane,0,None,9.669034
14,14,tsimane,0,None,7.012931
15,15,tsimane,0,None,5.521892
16,16,tsimane,0,None,6.758051
17,17,tsimane,0,None,5.693901
18,18,tsimane,0,None,4.849858
19,19,tsimane,0,None,6.233601
20,20,tsimane,0,None,3.984402
21,21,tsimane,0,None,5.484802
22,22,tsimane,0,None,5.736188
23,23,tsimane,0,None,5.008712
24,24,tsimane,0,None,5.104173
25,25,tsimane,0,None,5.566187
26,26,tsimane,0,None,4.172542
27,27,tsimane,0,None,4.451984
28,28,tsimane,0,None,4.139092
29,29,tsimane,0,None,4.015742
30,30,tsimane,0,None,4.657879
31,31,tsimane,0,None,4.112774
32,32,tsimane,0,None,4.357669
33,33,tsimane,0,None,4.515396
34,34,tsimane,0,None,3.077631
35,35,tsimane,0,None,3.645247
36,36,tsimane,0,None,3.888591
37,37,tsimane,0,None,3.177821
38,38,tsimane,0,None,4.797204
39,39,tsimane,0,None,4.023345
40,40,tsimane,0,None,4.911175
41,41,tsimane,0,None,4.958738
42,42,tsimane,0,None,4.420728
43,43,tsimane,0,None,6.018815
44,44,tsimane,0,None,6.236381
45,45,tsimane,0,None,3.528719
46,46,tsimane,0,None,7.410870
47,47,tsimane,0,None,5.831167
48,48,tsimane,0,None,6.254608
49,49,tsimane,0,None,5.358302
50,50,tsimane,0,None,5.340537
51,51,tsimane,0,None,5.344535
52,52,tsimane,0,None,3.600696
53,53,tsimane,0,None,6.093500
54,54,tsimane,0,None,5.132853
55,55,tsimane,0,None,3.636763
56,56,tsimane,0,None,3.255070
57,57,tsimane,0,None,3.963680
58,58,tsimane,0,None,3.870696
59,59,tsimane,0,None,3.737588
60,60,tsimane,0,None,6.216473
61,61,tsimane,0,None,4.074130
62,62,tsimane,0,None,4.752108
63,63,tsimane,0,None,5.426549
64,64,tsimane,0,None,4.075270
65,65,tsimane,0,None,5.246397
66,66,tsimane,0,None,3.704573
67,67,tsimane,0,None,6.242932
68,68,tsimane,0,None,5.761842
69,69,tsimane,0,None,5.789304
70,70,tsimane,0,None,6.745404
71,71,tsimane,0,None,9.320894
72,72,tsimane,0,None,6.719109
73,73,tsimane,0,None,5.655047
74,74,tsimane,0,None,3.844364
75,75,tsimane,0,None,4.103507
76,76,tsimane,0,None,3.648475
77,77,tsimane,0,None,3.267288
78,78,tsimane,0,None,3.082932
79,79,tsimane,0,None,3.983118
80,80,tsimane,0,None,3.421871
81,81,tsimane,0,None,6.069336
82,82,tsimane,0,None,5.442760
83,83,tsimane,0,None,4.769722
84,84,tsimane,0,None,2.921162
85,85,tsimane,0,None,2.589749
86,86,tsimane,0,None,2.671241
87,87,tsimane,0,None,4.541162
88,88,tsimane,0,None,3.808773
89,89,tsimane,0,None,5.046018
90,90,tsimane,0,None,4.495928
91,91,tsimane,0,None,5.587524
92,92,tsimane,0,None,4.960035
93,93,tsimane,0,None,5.783154
94,94,tsimane,0,None,7.032567
95,95,tsimane,0,None,6.599008
96,96,tsimane,0,None,5.768096
97,97,tsimane,0,None,8.585091
98,98,tsimane,0,None,6.405639
99,99,tsimane,0,None,5.762815
100,100,tsimane,0,None,6.801462
101,101,tsimane,0,None,6.446804
102,102,tsimane,0,None,4.498248
103,103,tsimane,0,None,4.987112
104,104,tsimane,0,None,4.927290
105,105,tsimane,0,None,4.408552
106,106,tsimane,0,None,5.124075
107,107,tsimane,0,None,3.635524
108,108,tsimane,0,None,4.526396
109,109,tsimane,0,None,3.681010
110,110,tsimane,0,None,4.579316
111,111,tsimane,0,None,3.551229
112,112,tsimane,0,None,4.021172
113,113,tsimane,0,None,3.735214
114,114,tsimane,0,None,3.520643
115,115,tsimane,0,None,4.046744
116,116,tsimane,0,None,4.019407
117,117,tsimane,0,None,3.946087
118,118,tsimane,0,None,3.627273
119,119,tsimane,0,None,3.618940
120,120,tsimane,0,None,4.183183
121,121,tsimane,0,None,3.023948
122,122,tsimane,0,None,4.536765
123,123,tsimane,0,None,3.574425
124,124,tsimane,0,None,4.378103
125,125,tsimane,0,None,4.192232
126,126,tsimane,0,None,5.666377
127,127,tsimane,0,None,4.132493
128,128,tsimane,0,None,4.931331
129,129,tsimane,0,None,5.437809
130,130,tsimane,0,None,4.172163
131,131,tsimane,0,None,3.356084
132,132,tsimane,0,None,4.897372
133,133,tsimane,0,None,3.912457
134,134,tsimane,0,None,4.038618
135,135,tsimane,0,None,3.717079
136,136,tsimane,0,None,3.325510
137,137,tsimane,0,None,2.936182
138,138,tsimane,0,None,3.682146
139,139,tsimane,0,None,3.544401
140,140,tsimane,0,None,4.139664
141,141,tsimane,0,None,4.231303
142,142,tsimane,0,None,4.936527
143,143,tsimane,0,None,9.012525
144,144,tsimane,0,None,5.859850
145,145,tsimane,0,None,3.757499
146,146,tsimane,0,None,3.804028
147,147,tsimane,0,None,4.618356
148,148,tsimane,0,None,4.319621
149,149,tsimane,0,None,2.958028
150,150,tsimane,0,None,3.100132
151,151,tsimane,0,None,2.627941
152,152,tsimane,0,None,2.649587
153,153,tsimane,0,None,3.089431
154,154,tsimane,0,None,3.171511
155,155,tsimane,0,None,3.554697
156,156,tsimane,0,None,2.686948
157,157,tsimane,0,None,3.170384
158,158,tsimane,0,None,4.344089
159,159,tsimane,0,None,4.344806
160,160,tsimane,0,None,4.230264
161,161,tsimane,0,None,3.746902
162,162,tsimane,0,None,4.408089
163,163,tsimane,0,None,3.678975
