sample,thin_sample,who,which,forward,value
0,0,adults,CMOM,None,0.008681
0,0,adults,OMCM,None,0.014977
0,0,adults,OCCO,None,0.002116
0,0,adults,OMOM,None,0.009519
0,0,adults,OOMM,None,0.847360
0,0,adults,OOCC,None,0.067040
0,0,adults,COOC,None,0.012397
0,0,adults,CCMM,None,0.006153
0,0,adults,OCOC,None,0.007098
0,0,adults,CCOO,None,0.005556
0,0,adults,CMCM,None,0.011194
0,0,adults,COCO,None,0.007909
1,1,adults,CMOM,None,0.002771
1,1,adults,OMCM,None,0.012866
1,1,adults,OCCO,None,0.001272
1,1,adults,OMOM,None,0.014255
1,1,adults,OOMM,None,0.866699
1,1,adults,OOCC,None,0.037792
1,1,adults,COOC,None,0.008377
1,1,adults,CCMM,None,0.027417
1,1,adults,OCOC,None,0.003745
1,1,adults,CCOO,None,0.003958
1,1,adults,CMCM,None,0.012436
1,1,adults,COCO,None,0.008411
2,2,adults,CMOM,None,0.002741
2,2,adults,OMCM,None,0.010569
2,2,adults,OCCO,None,0.002321
2,2,adults,OMOM,None,0.005124
2,2,adults,OOMM,None,0.878555
2,2,adults,OOCC,None,0.042371
2,2,adults,COOC,None,0.005815
2,2,adults,CCMM,None,0.017040
2,2,adults,OCOC,None,0.002902
2,2,adults,CCOO,None,0.010195
2,2,adults,CMCM,None,0.014340
2,2,adults,COCO,None,0.008028
3,3,adults,CMOM,None,0.004557
3,3,adults,OMCM,None,0.013629
3,3,adults,OCCO,None,0.006873
3,3,adults,OMOM,None,0.005995
3,3,adults,OOMM,None,0.817555
3,3,adults,OOCC,None,0.058701
3,3,adults,COOC,None,0.014492
3,3,adults,CCMM,None,0.014574
3,3,adults,OCOC,None,0.008147
3,3,adults,CCOO,None,0.006742
3,3,adults,CMCM,None,0.040712
3,3,adults,COCO,None,0.008024
4,4,adults,CMOM,None,0.001751
4,4,adults,OMCM,None,0.010163
4,4,adults,OCCO,None,0.001537
4,4,adults,OMOM,None,0.004787
4,4,adults,OOMM,None,0.909987
4,4,adults,OOCC,None,0.031906
4,4,adults,COOC,None,0.006588
4,4,adults,CCMM,None,0.018049
4,4,adults,OCOC,None,0.002801
4,4,adults,CCOO,None,0.003716
4,4,adults,CMCM,None,0.002829
4,4,adults,COCO,None,0.005886
5,5,adults,CMOM,None,0.002584
5,5,adults,OMCM,None,0.020354
5,5,adults,OCCO,None,0.003118
5,5,adults,OMOM,None,0.014105
5,5,adults,OOMM,None,0.821706
5,5,adults,OOCC,None,0.047881
5,5,adults,COOC,None,0.016683
5,5,adults,CCMM,None,0.013758
5,5,adults,OCOC,None,0.010998
5,5,adults,CCOO,None,0.010353
5,5,adults,CMCM,None,0.025646
5,5,adults,COCO,None,0.012812
6,6,adults,CMOM,None,0.003741
6,6,adults,OMCM,None,0.007349
6,6,adults,OCCO,None,0.004450
6,6,adults,OMOM,None,0.006905
6,6,adults,OOMM,None,0.899485
6,6,adults,OOCC,None,0.029388
6,6,adults,COOC,None,0.004585
6,6,adults,CCMM,None,0.011546
6,6,adults,OCOC,None,0.006386
6,6,adults,CCOO,None,0.008360
6,6,adults,CMCM,None,0.007341
6,6,adults,COCO,None,0.010464
7,7,adults,CMOM,None,0.007084
7,7,adults,OMCM,None,0.013177
7,7,adults,OCCO,None,0.004366
7,7,adults,OMOM,None,0.004880
7,7,adults,OOMM,None,0.835930
7,7,adults,OOCC,None,0.057787
7,7,adults,COOC,None,0.005566
7,7,adults,CCMM,None,0.017960
7,7,adults,OCOC,None,0.020917
7,7,adults,CCOO,None,0.011682
7,7,adults,CMCM,None,0.007897
7,7,adults,COCO,None,0.012754
8,8,adults,CMOM,None,0.007994
8,8,adults,OMCM,None,0.007574
8,8,adults,OCCO,None,0.004660
8,8,adults,OMOM,None,0.004720
8,8,adults,OOMM,None,0.849561
8,8,adults,OOCC,None,0.058791
8,8,adults,COOC,None,0.008531
8,8,adults,CCMM,None,0.006846
8,8,adults,OCOC,None,0.014042
8,8,adults,CCOO,None,0.007926
8,8,adults,CMCM,None,0.018210
8,8,adults,COCO,None,0.011145
9,9,adults,CMOM,None,0.004390
9,9,adults,OMCM,None,0.008805
9,9,adults,OCCO,None,0.002346
9,9,adults,OMOM,None,0.004010
9,9,adults,OOMM,None,0.884923
9,9,adults,OOCC,None,0.053967
9,9,adults,COOC,None,0.002941
9,9,adults,CCMM,None,0.011469
9,9,adults,OCOC,None,0.008700
9,9,adults,CCOO,None,0.003921
9,9,adults,CMCM,None,0.009857
9,9,adults,COCO,None,0.004671
10,10,adults,CMOM,None,0.009897
10,10,adults,OMCM,None,0.013845
10,10,adults,OCCO,None,0.002875
10,10,adults,OMOM,None,0.002967
10,10,adults,OOMM,None,0.859955
10,10,adults,OOCC,None,0.045982
10,10,adults,COOC,None,0.004520
10,10,adults,CCMM,None,0.013334
10,10,adults,OCOC,None,0.023083
10,10,adults,CCOO,None,0.005153
10,10,adults,CMCM,None,0.014138
10,10,adults,COCO,None,0.004250
11,11,adults,CMOM,None,0.014806
11,11,adults,OMCM,None,0.017562
11,11,adults,OCCO,None,0.006530
11,11,adults,OMOM,None,0.009085
11,11,adults,OOMM,None,0.733696
11,11,adults,OOCC,None,0.101921
11,11,adults,COOC,None,0.017651
11,11,adults,CCMM,None,0.015376
11,11,adults,OCOC,None,0.026619
11,11,adults,CCOO,None,0.012750
11,11,adults,CMCM,None,0.030597
11,11,adults,COCO,None,0.013407
12,12,adults,CMOM,None,0.009941
12,12,adults,OMCM,None,0.016892
12,12,adults,OCCO,None,0.003063
12,12,adults,OMOM,None,0.005592
12,12,adults,OOMM,None,0.889371
12,12,adults,OOCC,None,0.028779
12,12,adults,COOC,None,0.010697
12,12,adults,CCMM,None,0.010046
12,12,adults,OCOC,None,0.007294
12,12,adults,CCOO,None,0.007380
12,12,adults,CMCM,None,0.005867
12,12,adults,COCO,None,0.005080
13,13,adults,CMOM,None,0.009060
13,13,adults,OMCM,None,0.015553
13,13,adults,OCCO,None,0.003874
13,13,adults,OMOM,None,0.009301
13,13,adults,OOMM,None,0.810949
13,13,adults,OOCC,None,0.070898
13,13,adults,COOC,None,0.014467
13,13,adults,CCMM,None,0.009870
13,13,adults,OCOC,None,0.024861
13,13,adults,CCOO,None,0.010165
13,13,adults,CMCM,None,0.015571
13,13,adults,COCO,None,0.005429
14,14,adults,CMOM,None,0.020377
14,14,adults,OMCM,None,0.010841
14,14,adults,OCCO,None,0.008688
14,14,adults,OMOM,None,0.007282
14,14,adults,OOMM,None,0.851697
14,14,adults,OOCC,None,0.041215
14,14,adults,COOC,None,0.010630
14,14,adults,CCMM,None,0.005728
14,14,adults,OCOC,None,0.008942
14,14,adults,CCOO,None,0.010358
14,14,adults,CMCM,None,0.007739
14,14,adults,COCO,None,0.016502
15,15,adults,CMOM,None,0.019440
15,15,adults,OMCM,None,0.008912
15,15,adults,OCCO,None,0.006143
15,15,adults,OMOM,None,0.019019
15,15,adults,OOMM,None,0.820480
15,15,adults,OOCC,None,0.055990
15,15,adults,COOC,None,0.015708
15,15,adults,CCMM,None,0.006133
15,15,adults,OCOC,None,0.011871
15,15,adults,CCOO,None,0.007670
15,15,adults,CMCM,None,0.004410
15,15,adults,COCO,None,0.024224
16,16,adults,CMOM,None,0.006077
16,16,adults,OMCM,None,0.004952
16,16,adults,OCCO,None,0.004518
16,16,adults,OMOM,None,0.009064
16,16,adults,OOMM,None,0.904349
16,16,adults,OOCC,None,0.040670
16,16,adults,COOC,None,0.003954
16,16,adults,CCMM,None,0.003925
16,16,adults,OCOC,None,0.005626
16,16,adults,CCOO,None,0.008284
16,16,adults,CMCM,None,0.003749
16,16,adults,COCO,None,0.004832
17,17,adults,CMOM,None,0.018704
17,17,adults,OMCM,None,0.008705
17,17,adults,OCCO,None,0.009308
17,17,adults,OMOM,None,0.024702
17,17,adults,OOMM,None,0.875885
17,17,adults,OOCC,None,0.021708
17,17,adults,COOC,None,0.005485
17,17,adults,CCMM,None,0.004148
17,17,adults,OCOC,None,0.003871
17,17,adults,CCOO,None,0.005494
17,17,adults,CMCM,None,0.005459
17,17,adults,COCO,None,0.016530
18,18,adults,CMOM,None,0.003881
18,18,adults,OMCM,None,0.021184
18,18,adults,OCCO,None,0.012304
18,18,adults,OMOM,None,0.029048
18,18,adults,OOMM,None,0.870615
18,18,adults,OOCC,None,0.019802
18,18,adults,COOC,None,0.007717
18,18,adults,CCMM,None,0.006227
18,18,adults,OCOC,None,0.003946
18,18,adults,CCOO,None,0.007682
18,18,adults,CMCM,None,0.009472
18,18,adults,COCO,None,0.008123
19,19,adults,CMOM,None,0.001915
19,19,adults,OMCM,None,0.023501
19,19,adults,OCCO,None,0.005770
19,19,adults,OMOM,None,0.007456
19,19,adults,OOMM,None,0.901479
19,19,adults,OOCC,None,0.036172
19,19,adults,COOC,None,0.007180
19,19,adults,CCMM,None,0.000752
19,19,adults,OCOC,None,0.001529
19,19,adults,CCOO,None,0.004122
19,19,adults,CMCM,None,0.004549
19,19,adults,COCO,None,0.005575
20,20,adults,CMOM,None,0.004207
20,20,adults,OMCM,None,0.007935
20,20,adults,OCCO,None,0.013582
20,20,adults,OMOM,None,0.020145
20,20,adults,OOMM,None,0.854579
20,20,adults,OOCC,None,0.029408
20,20,adults,COOC,None,0.007682
20,20,adults,CCMM,None,0.004121
20,20,adults,OCOC,None,0.008071
20,20,adults,CCOO,None,0.010600
20,20,adults,CMCM,None,0.016628
20,20,adults,COCO,None,0.023042
21,21,adults,CMOM,None,0.003474
21,21,adults,OMCM,None,0.012708
21,21,adults,OCCO,None,0.005285
21,21,adults,OMOM,None,0.005039
21,21,adults,OOMM,None,0.850909
21,21,adults,OOCC,None,0.057538
21,21,adults,COOC,None,0.015050
21,21,adults,CCMM,None,0.007277
21,21,adults,OCOC,None,0.004429
21,21,adults,CCOO,None,0.011245
21,21,adults,CMCM,None,0.009835
21,21,adults,COCO,None,0.017211
22,22,adults,CMOM,None,0.005784
22,22,adults,OMCM,None,0.013209
22,22,adults,OCCO,None,0.007410
22,22,adults,OMOM,None,0.004611
22,22,adults,OOMM,None,0.843888
22,22,adults,OOCC,None,0.052016
22,22,adults,COOC,None,0.009477
22,22,adults,CCMM,None,0.008450
22,22,adults,OCOC,None,0.006044
22,22,adults,CCOO,None,0.021586
22,22,adults,CMCM,None,0.007099
22,22,adults,COCO,None,0.020426
23,23,adults,CMOM,None,0.007590
23,23,adults,OMCM,None,0.012560
23,23,adults,OCCO,None,0.009414
23,23,adults,OMOM,None,0.008580
23,23,adults,OOMM,None,0.823716
23,23,adults,OOCC,None,0.047922
23,23,adults,COOC,None,0.009439
23,23,adults,CCMM,None,0.013022
23,23,adults,OCOC,None,0.009826
23,23,adults,CCOO,None,0.025304
23,23,adults,CMCM,None,0.015367
23,23,adults,COCO,None,0.017261
24,24,adults,CMOM,None,0.010455
24,24,adults,OMCM,None,0.007415
24,24,adults,OCCO,None,0.005847
24,24,adults,OMOM,None,0.012861
24,24,adults,OOMM,None,0.833700
24,24,adults,OOCC,None,0.071060
24,24,adults,COOC,None,0.003887
24,24,adults,CCMM,None,0.009430
24,24,adults,OCOC,None,0.004009
24,24,adults,CCOO,None,0.017515
24,24,adults,CMCM,None,0.003798
24,24,adults,COCO,None,0.020022
25,25,adults,CMOM,None,0.003709
25,25,adults,OMCM,None,0.004031
25,25,adults,OCCO,None,0.007516
25,25,adults,OMOM,None,0.004098
25,25,adults,OOMM,None,0.890837
25,25,adults,OOCC,None,0.038307
25,25,adults,COOC,None,0.002823
25,25,adults,CCMM,None,0.003982
25,25,adults,OCOC,None,0.006648
25,25,adults,CCOO,None,0.010819
25,25,adults,CMCM,None,0.009737
25,25,adults,COCO,None,0.017492
26,26,adults,CMOM,None,0.020640
26,26,adults,OMCM,None,0.013596
26,26,adults,OCCO,None,0.018509
26,26,adults,OMOM,None,0.024938
26,26,adults,OOMM,None,0.771761
26,26,adults,OOCC,None,0.048188
26,26,adults,COOC,None,0.010098
26,26,adults,CCMM,None,0.024688
26,26,adults,OCOC,None,0.016205
26,26,adults,CCOO,None,0.017889
26,26,adults,CMCM,None,0.014381
26,26,adults,COCO,None,0.019107
27,27,adults,CMOM,None,0.010996
27,27,adults,OMCM,None,0.026175
27,27,adults,OCCO,None,0.008689
27,27,adults,OMOM,None,0.019759
27,27,adults,OOMM,None,0.810859
27,27,adults,OOCC,None,0.050504
27,27,adults,COOC,None,0.006485
27,27,adults,CCMM,None,0.020545
27,27,adults,OCOC,None,0.012746
27,27,adults,CCOO,None,0.008029
27,27,adults,CMCM,None,0.007232
27,27,adults,COCO,None,0.017981
28,28,adults,CMOM,None,0.005790
28,28,adults,OMCM,None,0.012423
28,28,adults,OCCO,None,0.014784
28,28,adults,OMOM,None,0.023508
28,28,adults,OOMM,None,0.790573
28,28,adults,OOCC,None,0.061396
28,28,adults,COOC,None,0.016389
28,28,adults,CCMM,None,0.009017
28,28,adults,OCOC,None,0.011682
28,28,adults,CCOO,None,0.012401
28,28,adults,CMCM,None,0.022365
28,28,adults,COCO,None,0.019672
29,29,adults,CMOM,None,0.007552
