sample,thin_sample,who,part,digits,value
0,0,monkeys,0,None,0.002276
0,0,monkeys,1,None,0.040224
0,0,monkeys,2,None,0.157535
1,1,monkeys,0,None,0.006893
1,1,monkeys,1,None,0.046800
1,1,monkeys,2,None,0.140378
2,2,monkeys,0,None,0.007093
2,2,monkeys,1,None,0.038669
2,2,monkeys,2,None,0.157753
3,3,monkeys,0,None,0.017264
3,3,monkeys,1,None,0.032165
3,3,monkeys,2,None,0.144801
4,4,monkeys,0,None,0.008167
4,4,monkeys,1,None,0.026374
4,4,monkeys,2,None,0.207302
5,5,monkeys,0,None,0.015241
5,5,monkeys,1,None,0.042570
5,5,monkeys,2,None,0.223097
6,6,monkeys,0,None,0.016930
6,6,monkeys,1,None,0.023473
6,6,monkeys,2,None,0.146843
7,7,monkeys,0,None,0.004542
7,7,monkeys,1,None,0.038853
7,7,monkeys,2,None,0.176362
8,8,monkeys,0,None,0.025292
8,8,monkeys,1,None,0.022056
8,8,monkeys,2,None,0.207533
9,9,monkeys,0,None,0.025389
9,9,monkeys,1,None,0.012301
9,9,monkeys,2,None,0.159062
10,10,monkeys,0,None,0.026175
10,10,monkeys,1,None,0.016610
10,10,monkeys,2,None,0.195846
11,11,monkeys,0,None,0.006230
11,11,monkeys,1,None,0.049229
11,11,monkeys,2,None,0.157999
12,12,monkeys,0,None,0.006735
12,12,monkeys,1,None,0.027369
12,12,monkeys,2,None,0.159318
13,13,monkeys,0,None,0.012640
13,13,monkeys,1,None,0.057410
13,13,monkeys,2,None,0.151285
14,14,monkeys,0,None,0.008145
14,14,monkeys,1,None,0.023739
14,14,monkeys,2,None,0.179321
15,15,monkeys,0,None,0.003448
15,15,monkeys,1,None,0.032948
15,15,monkeys,2,None,0.154783
16,16,monkeys,0,None,0.002906
16,16,monkeys,1,None,0.057601
16,16,monkeys,2,None,0.143325
17,17,monkeys,0,None,0.001483
17,17,monkeys,1,None,0.057491
17,17,monkeys,2,None,0.143851
18,18,monkeys,0,None,0.001111
18,18,monkeys,1,None,0.028733
18,18,monkeys,2,None,0.205477
19,19,monkeys,0,None,0.025619
19,19,monkeys,1,None,0.034469
19,19,monkeys,2,None,0.207164
20,20,monkeys,0,None,0.025578
20,20,monkeys,1,None,0.021525
20,20,monkeys,2,None,0.161617
21,21,monkeys,0,None,0.021830
21,21,monkeys,1,None,0.023212
21,21,monkeys,2,None,0.157191
22,22,monkeys,0,None,0.002757
22,22,monkeys,1,None,0.020395
22,22,monkeys,2,None,0.145506
23,23,monkeys,0,None,0.008899
23,23,monkeys,1,None,0.059602
23,23,monkeys,2,None,0.215667
24,24,monkeys,0,None,0.022680
24,24,monkeys,1,None,0.050830
24,24,monkeys,2,None,0.212748
25,25,monkeys,0,None,0.039597
25,25,monkeys,1,None,0.022782
25,25,monkeys,2,None,0.148605
26,26,monkeys,0,None,0.035936
26,26,monkeys,1,None,0.047015
26,26,monkeys,2,None,0.177589
27,27,monkeys,0,None,0.022714
27,27,monkeys,1,None,0.043848
27,27,monkeys,2,None,0.174868
28,28,monkeys,0,None,0.016205
28,28,monkeys,1,None,0.022163
